Feature,P-Value
family_income_level,8.218114769433021e-102
grade_repetition_count,3.421422609742474e-95
parent_guardian_occupation,1.6153543742447326e-73
own_textbooks,5.785614666378432e-63
missed_school_due_to_illness,1.812116050392025e-46
parent_attends_school_events,2.6883113449476018e-45
no_of_siblings_in_school,6.167582447660774e-45
barriers_to_regular_attendance,1.2912649838909818e-44
daily_study_hours_at_home,6.580806874884388e-38
behaviour_warnings_punishments,4.084689615097943e-37
parent_guardian_education_level,3.2588657858012122e-34
social_studies_exam_score,2.748998020454359e-23
travel_time_to_school,6.003532017374157e-23
missed_school_for_choreswork,4.039567033893468e-14
class_level,6.828936903953441e-14
govt_support,3.1105785006756795e-12
mode_of_transport_to_school,1.1807489447014137e-08
school_code,1.0367964808480065e-06
school_type,0.00014519045413986827
leap_beneficiary_status,0.0007972130754471253
data_source,0.007353520514518427
geographic_zone,0.0681118488471924
gender,0.2111229359139237
extracurricular_activities,0.7686750075451793
