school_code,geographic_zone,school_type,data_source,gender,age_at_start_of_academic_year,class_level,grade_repetition_count,term_1_attendance,term_2_attendance,term_3_attendance,english_exam_score,math_exam_score,science_exam_score,social_studies_exam_score,average_exam_score,leap_beneficiary_status,travel_time_to_school,mode_of_transport_to_school,govt_support,parent_guardian_education_level,parent_guardian_occupation,no_of_siblings_in_school,home_has_electricity,own_textbooks,daily_study_hours_at_home,safety_at_home,safety_at_school,teacher_support_rating,school_enjoyment,missed_school_for_choreswork,missed_school_due_to_illness,barriers_to_regular_attendance,family_income_level,parent_attends_school_events,behaviour_warnings_punishments,class_participation,extracurricular_activities,dropout_label
1,0,1,0,1,9.0,2,0,77.0,77.0,75.0,66.0,68.0,54.0,46,61.0,0,0,2,2,1,1,33,1,1,0,4.0,5.0,5.0,5.0,2,1,1,4,4,3,5.0,1,0
3,1,1,0,0,8.0,3,1,77.8,80.5,83.4,70.7,56.7,76.3,87,67.19999999999999,0,3,1,2,4,4,27,1,6,2,1.7,2.8,3.0,4.0,2,1,6,4,3,3,1.9,0,0
1,0,1,0,1,13.4,1,0,71.9,71.9,71.3,52.9,57.4,60.6,55,57.35,2,1,1,2,4,4,40,1,1,0,4.9,2.7,3.8,3.9,2,5,2,3,5,1,5.1,0,0
3,1,1,0,1,9.0,3,14,20.0,37.0,0.0,29.0,16.0,11.0,19,25.75,0,5,2,1,1,1,64,0,0,1,2.0,2.0,2.0,1.0,2,1,3,3,4,0,1.0,0,1
3,1,1,0,1,12.0,0,10,94.0,88.0,88.0,45.0,87.0,64.0,119,66.75,0,5,1,1,4,1,20,0,6,0,5.0,5.0,5.0,5.0,0,1,3,4,3,2,5.0,0,0
3,1,1,0,0,12.0,0,0,97.0,93.0,93.0,47.0,40.0,67.0,18,50.0,2,5,1,2,5,1,20,0,6,2,5.0,5.0,5.0,5.0,0,1,3,2,1,3,5.0,1,0
1,0,1,1,0,10.0,0,0,84.0,93.0,81.0,85.0,40.0,77.0,113,68.0,1,3,1,0,5,5,5,1,5,0,5.0,5.0,5.0,3.0,1,1,3,2,5,2,5.0,0,0
3,1,1,0,1,13.0,1,0,88.0,89.0,89.0,64.0,93.0,60.0,189,76.25,2,1,1,2,4,4,16,1,6,2,3.0,5.0,3.0,5.0,0,1,3,0,1,2,5.0,0,0
3,1,1,0,1,8.0,3,0,96.0,90.0,90.0,66.0,55.0,65.0,199,70.5,2,0,1,2,1,0,33,1,6,2,3.0,3.0,3.0,3.0,0,4,3,2,5,2,3.0,0,0
3,1,1,0,0,6.0,2,7,83.5,86.0,82.6,78.8,72.1,81.3,176,79.05,0,3,1,1,5,5,57,1,6,2,3.9,4.1,4.6,2.7,2,1,3,4,3,3,4.1,1,0
3,1,1,0,0,5.0,2,14,20.0,37.0,0.0,27.0,15.0,40.0,2,28.0,0,5,2,1,1,2,5,0,0,1,2.0,2.0,2.0,1.0,2,5,6,3,2,0,1.0,0,1
3,1,1,0,1,6.0,2,0,85.0,87.0,90.0,68.0,57.0,57.0,78,61.25,0,3,2,2,1,1,20,1,1,1,4.0,3.0,4.0,3.0,2,1,1,4,3,3,2.0,0,0
3,1,1,0,1,13.0,1,0,91.0,99.0,99.0,50.0,55.0,64.0,133,60.5,0,0,1,1,4,1,33,0,6,0,5.0,5.0,5.0,5.0,2,1,3,4,1,2,5.0,0,0
1,0,1,0,1,11.3,0,0,84.3,77.5,79.9,65.7,61.5,71.8,26,62.15,1,0,2,0,4,0,5,1,6,0,3.3,1.9,2.8,2.3,0,3,3,4,4,3,1.8,1,0
1,0,1,1,1,10.0,0,0,70.0,79.0,74.0,73.0,59.0,54.0,176,67.5,1,3,1,0,5,0,20,1,6,2,5.0,5.0,3.0,1.0,2,3,0,4,5,2,5.0,1,0
3,1,1,0,1,13.0,1,0,96.0,98.0,98.0,48.0,86.0,93.0,199,80.75,2,0,1,2,5,1,20,1,1,2,3.0,5.0,3.0,5.0,2,4,3,4,3,2,5.0,0,0
2,0,0,0,1,14.0,0,14,67.0,71.0,69.0,63.0,68.0,64.0,103,65.75,0,3,2,2,4,0,44,1,6,2,3.0,5.0,4.0,4.0,2,1,6,4,5,3,3.0,0,0
0,1,1,0,1,13.0,1,0,72.0,77.0,70.0,49.0,50.0,59.0,29,52.25,0,3,2,2,4,0,5,1,1,2,2.0,4.0,3.0,3.0,2,1,6,4,1,1,3.0,0,0
3,1,1,0,1,13.0,1,0,85.0,89.0,89.0,86.0,63.0,71.0,177,76.25,1,0,2,0,1,1,5,1,6,2,3.0,5.0,3.0,5.0,0,1,3,3,5,2,5.0,0,0
0,1,1,0,0,11.2,2,13,70.5,67.9,74.1,61.9,68.1,54.3,105,63.225,0,0,2,2,5,1,20,1,6,0,4.4,5.0,3.7,3.2,2,1,6,4,5,0,4.1,1,0
1,0,1,0,1,14.0,0,0,74.0,76.0,76.0,60.0,61.0,65.0,119,64.25,0,0,1,2,5,0,44,1,6,2,4.0,3.0,4.0,4.0,2,1,6,4,1,3,4.0,0,0
3,1,1,0,0,12.0,4,0,93.0,94.0,94.0,91.0,50.0,58.0,193,72.25,2,1,2,2,5,0,20,1,6,1,4.0,5.0,4.0,5.0,2,4,3,4,1,3,5.0,0,0
