school_code,geographic_zone,school_type,data_source,gender,age_at_start_of_academic_year,class_level,grade_repetition_count,term_1_attendance,term_2_attendance,term_3_attendance,average_attendance,english_exam_score,math_exam_score,science_exam_score,social_studies_exam_score,average_exam_score,school_feeding_status,leap_beneficiary_status,travel_time_to_school,mode_of_transport_to_school,govt_support,parent_guardian_education_level,parent_guardian_occupation,no_of_siblings_in_school,home_has_electricity,own_textbooks,daily_study_hours_at_home,safety_at_home,safety_at_school,teacher_support_rating,school_enjoyment,missed_school_for_choreswork,missed_school_due_to_illness,barriers_to_regular_attendance,family_income_level,parent_attends_school_events,behaviour_warnings_punishments,class_participation,extracurricular_activities,dropout_label
KNU_JHS,Rural,Public,Both,Female,11.95165958669004,P5,0,52.25493547875408,89.45403026907505,-52.20463265650749,89.42118603892492,88.25464707276412,79.9492522844706,62.21605849193529,23.537195294020407,85.50992168728243,1,No,30-60 min,Walk,No,SHS,Employed,2.6,1,Yes-all subjects,1-2 hrs,5.1987715962972025,5.573123250051486,2.8577375902817947,4.775929457433521,No,No,Long distance/transport,Medium,Always,Never,2.504774694718767,1 activity,0
SHI,Rural,Public,Both,Female,7.995590875109407,JHS1,0.1,74.34759994131169,95.43182519699212,79.26036196445729,74.11661046222025,60.51683164128999,46.936277217060514,42.61934147699918,62.42271452863132,81.32843298454007,0,No,15-30 min,Car/trotro/bus,No,SHS,Trading/market,1,1,No-borrow/share,1-2 hrs,4.121433928239222,5.566931649918125,3.017722127810688,5.360699027157592,Yes,"Yes, more than once",Help at home,High,Sometimes,Once,4.654454599845676,1 activity,0
SHI,Peri-urban,Public,Both,Female,13.539829077716494,JHS2,0,84.90618693475278,68.13750615683573,73.28805444200103,79.30690215611493,55.383468631074315,68.28043109466387,66.70057248479895,77.1537340569188,76.44637891035467,0,No,30-60 min,Car/trotro/bus,No,SHS,Skilled trade,1,1,Yes-all subjects,Less than 1 hr,4.439767773074695,3.36810596450327,2.80190490244876,4.828701451145627,No,No,Health problems,Medium,Often,Once,5.178921942013242,2 activities,0
KNU_JHS,Peri-urban,Public,Questionnaire,Male,6.9502521670056305,JHS1,0,95.4024081765137,94.5388364214487,92.04742648993633,94.07565435833033,69.6475106843044,42.99893756561168,53.29398257648272,62.368661122601814,58.97696895687958,0,No,30-60 min,Car/trotro/bus,No,Primary,Employed,2,1,Yes-all subjects,1-2 hrs,2.858684497632031,2.8749777270000307,5.159241987508557,5.106742074656411,No,"Yes, once",Work to earn,Medium,Rarely,Never,2.023630652563315,1 activity,0
WEWE,Peri-urban,Public,Both,Male,13.742585866533716,JHS1,1,75.13164931680092,86.03269943711935,74.03634262732422,82.78673504828895,70.96379434349463,61.90786508225764,49.06870546242765,92.49110425686563,70.78394476191036,0,No,Less than 15 min,Car/trotro/bus,Yes,SHS,Skilled trade,4,1,Yes-all subjects,1-2 hrs,4.368333460876134,5.332445308448067,2.7626542295222354,4.7591238110288145,No,No,Help at home,Medium,Sometimes,Once,4.243229017422546,2 activities,0
SHI,Peri-urban,Public,Both,Female,13.832339661532217,P5,0.4,82.2291067788502,84.78988953831053,92.23393165130015,84.10157389325404,99.09727954482464,65.77846463430278,43.09026677349095,22.3623274272627,73.63652079166685,1,No,15-30 min,Car/trotro/bus,No,SHS,Employed,1,1,Yes-some subjects,More than 2 hrs,3.991697799745559,5.446125537126629,5.376128903596293,3.098112627009199,No,"Yes, once",Help at home,Don't know,Never,Once,5.133130887116368,1 activity,0
SHI,Rural,Public,Both,Male,10.641643670597908,JHS2,0,81.43680695228845,82.21322194767825,74.07500741849792,92.79159285711037,86.87018703449793,89.48148543227448,78.55454250354585,21.90047066796371,63.21690376773376,1,No,30-60 min,Car/trotro/bus,Yes,SHS,Employed,1,1,Yes-some subjects,More than 2 hrs,5.173771916313981,5.37333688420803,5.007283191421424,4.776428173584399,Yes,No,Nothing-come regularly,Medium,Often,Never,5.093798398947691,2 activities,0
WEWE,Rural,Public,Both,Female,9.708586660383814,P6,0.2,75.51016275698179,89.55326453501687,75.4560013471844,75.48389783541202,68.45498582548926,42.82979001774512,50.255360053404004,59.34574223573114,59.00720073831571,0,No,30-60 min,Walk,No,Tertiary,Farming/fishing,2,1,Yes-some subjects,More than 2 hrs,5.439403249686464,5.060719355352948,2.994592691938502,4.97031455321886,Yes,Yes-once,Nothing-come regularly,Medium,Often,Once,3.898608722011146,2 activities,0
WEWE,Peri-urban,Public,Both,Female,10.419794678034725,JHS1,1,70.57788119422996,96.37841471145593,84.22938157920642,79.43865401116972,77.76660297638945,71.88443520997191,87.62166324093714,63.46847266556005,81.538411240162,0,No,Less than 15 min,Car/trotro/bus,No,JHS,No paid work,3,1,Yes-all subjects,Less than 1 hr,3.150555063353985,5.267536220356619,4.223723873241796,5.0470988001397235,Yes,Yes-more than once,Nothing-come regularly,High,Sometimes,Once,4.015742190596426,1 activity,0
WEWE,Rural,Public,Both,Male,9.478035589820589,P5,0.5,70.18811177229409,79.16870122506116,65.52751953315612,85.4918045305802,77.47268837476066,70.1617865870729,54.18065679437731,14.437740197917535,74.44153417054585,0,No,More than 1 hour,Car/trotro/bus,No,Tertiary,Employed,1.2,1,Yes-some subjects,More than 2 hrs,2.9044274433022426,3.1942775618074024,2.98639291958391,4.536695153322941,Yes,No,Help at home,Medium,Sometimes,Never,3.624903157556033,2 activities,0
