school_code,geographic_zone,school_type,data_source,gender,age_at_start_of_academic_year,class_level,grade_repetition_count,term_1_attendance,term_2_attendance,term_3_attendance,average_attendance,english_exam_score,math_exam_score,science_exam_score,social_studies_exam_score,average_exam_score,school_feeding_status,leap_beneficiary_status,travel_time_to_school,mode_of_transport_to_school,govt_support,parent_guardian_education_level,parent_guardian_occupation,no_of_siblings_in_school,home_has_electricity,own_textbooks,daily_study_hours_at_home,safety_at_home,safety_at_school,teacher_support_rating,school_enjoyment,missed_school_for_choreswork,missed_school_due_to_illness,barriers_to_regular_attendance,family_income_level,parent_attends_school_events,behaviour_warnings_punishments,class_participation,extracurricular_activities,dropout_label
WEWE,Rural,Public,Both,Female,3.3728584786702385,P5,1,8.047067847848709,28.884048907965628,-28.029049808281528,96.75187703105118,-6.9391723584718505,-25.17131957636098,23.235212904681646,54.275152860839135,9.246063427028503,1,No,30-60 min,Walk,No,JHS,No paid work,16,0,Yes-some subjects,Less than 1 hr,2.389984527848,-1.1110007421579322,-0.8823154467596419,-0.08350676611225083,Yes,Yes-more than once,Long distance/transport,Low,Never,Once,-0.31629507483513164,1 activity,1
SHI,Peri-urban,Private,Both,Male,12.26277937331374,JHS1,2,80.34690886331705,70.78214530578862,25.85229012116232,18.85908407080855,86.80631334312613,67.69096351904712,57.12614283509431,72.88773936465799,59.78168983532097,0,No,30-60 min,Walk,Yes,JHS,Farming/fishing,3,1,Yes-some subjects,1-2 hrs,2.2066472453243686,7.396059769845849,5.305156341342514,3.342908057419557,Yes,Yes-more than once,Work to earn,Medium,Often,Once,4.532505629312149,2 activities,1
KNU_JHS,Peri-urban,Public,Both,Male,14.351865789195699,P4,1.3,63.691618762126616,62.98186144053331,85.34009215251002,66.455569540558,72.0782646376789,78.11635635417754,67.48416800659237,76.4933587773589,61.45153932440839,-1,Yes,Less than 15 min,Walk,Yes,JHS,Farming/fishing,9,1,Yes-some subjects,1-2 hrs,2.548636044717886,8.221652829644484,5.7457757015080855,4.5099984132150635,Yes,No,Work to earn,Medium,Often,Once,5.870056801168467,1 activity,1
WEWE,Rural,Public,Both,Male,2.3880014375922842,P4,2,7.1509034961147915,20.81282545929386,12.911016295271915,7.2289595964952404,-1.778743321172442,-8.248944680750647,-13.799801256702462,38.86534031317124,6.737308682102999,1,No,More than 1 hour,Walk,No,JHS,No paid work,4,0,No-borrow/share,Less than 1 hr,2.5927234890317394,-0.6974330344143813,-0.4533261074425208,1.982713113125361,Yes,Yes-more than once,Safety on way,Low,Never,Once,0.8163472422667739,1 activity,1
SHI,Peri-urban,Public,Both,Male,10.715362603410993,JHS1,1,100.02847797162957,87.41358555103851,101.67687965087451,79.81037092300885,93.9464898849957,104.24876351282711,70.58748877362729,49.604588986860044,78.9154250176457,-1,Yes,Less than 15 min,Walk,Yes,SHS,Farming/fishing,3,2,Yes-some subjects,1-2 hrs,3.2731988283434843,8.481071655199099,6.114334670986079,7.91231424332362,Yes,Yes-once,Work to earn,Medium,Often,2-3 times,7.093948269257753,1 activity,1
AYED_RC,Rural,Public,Both,Male,12.395491403554317,JHS1,1.3,82.73093262742078,24.869397506237135,-15.480878242825328,66.95855999363798,47.72898241087893,2.973099208995947,52.52022605245391,40.09765381885175,44.562395078114776,0,No,Less than 15 min,Walk,Yes,JHS,Farming/fishing,4.3,1,Yes-some subjects,More than 2 hrs,4.664943029292773,5.928775060446976,3.887804374381136,2.9904302855110383,Yes,Yes-once,Safety on way,Low,Often,More than 3 times,-0.05463869282475553,1 activity,1
KNU_JHS,Rural,Public,Both,Male,4.685869040264342,P5,1,58.270373784393655,64.72686409079654,65.76157022909575,100.11191054485325,83.21338890887031,55.070262276851906,66.43144165930514,57.22171510888228,58.760079953804265,-1,No,Less than 15 min,Car/trotro/bus,Yes,JHS,Farming/fishing,4.1,1,Yes-some subjects,Less than 1 hr,3.2500363344815493,6.693932182885963,4.78668919945709,6.507830375666327,Yes,No,Work to earn,Low,Sometimes,2-3 times,6.026509670338718,1 activity,1
WEWE,Rural,Public,Both,Male,15.288209426803009,P4,1,71.43815290329586,67.41659254858213,65.26768068928132,77.94940968689275,77.12702705091213,62.38564872082088,42.09456637085616,30.521148512087212,66.32305366041916,1,Yes,More than 1 hour,Car/trotro/bus,No,SHS,Skilled trade,1.9,2,Yes-some subjects,More than 2 hrs,3.0425316494580934,6.024931235385449,5.396942996115701,4.50619323146362,Yes,Yes-more than once,Work to earn,Low,Sometimes,2-3 times,4.811773952096434,1 activity,1
WEWE,Rural,Public,Both,Male,2.1790057010109765,P5,2,6.037059138966322,27.52171254598135,8.590547754026337,10.010283533576084,8.044776855976295,-27.523014369524745,19.44827295419922,68.7971519206083,10.076495278301753,1,No,More than 1 hour,Walk,No,JHS,No paid work,4.3,0,No-borrow/share,Less than 1 hr,3.655034447062989,-1.7021027250841727,-0.7019094474060772,3.7944485255224265,Yes,Yes-more than once,Safety on way,Low,Rarely,Once,-0.3464429794878521,2 activities,1
WEWE,Peri-urban,Public,Both,Male,9.364986649766957,P5,2,75.7200613581854,59.61508982310869,-8.44771971994791,19.297538512891713,61.91425211978617,21.221093302242654,36.77261862102575,59.01996334732762,34.977835701397005,1,No,Less than 15 min,Walk,Yes,JHS,Farming/fishing,9,1,Yes-some subjects,More than 2 hrs,1.924140858686422,6.206759834231662,4.5836565774578055,1.0577892501399866,Yes,Yes-once,Safety on way,Low,Always,Once,0.9748213590572765,1 activity,1
