school_code,geographic_zone,school_type,data_source,gender,age_at_start_of_academic_year,class_level,grade_repetition_count,term_1_attendance,term_2_attendance,term_3_attendance,english_exam_score,math_exam_score,science_exam_score,social_studies_exam_score,average_exam_score,leap_beneficiary_status,travel_time_to_school,mode_of_transport_to_school,govt_support,parent_guardian_education_level,parent_guardian_occupation,no_of_siblings_in_school,home_has_electricity,own_textbooks,daily_study_hours_at_home,safety_at_home,safety_at_school,teacher_support_rating,school_enjoyment,missed_school_for_choreswork,missed_school_due_to_illness,barriers_to_regular_attendance,family_income_level,parent_attends_school_events,behaviour_warnings_punishments,class_participation,extracurricular_activities,dropout_label
1,0,1,1,1,10.0,0,0,85.0,82.0,86.0,85.0,66.0,66.0,177,75.5,1,3,1,0,5,0,5,1,5,0,2.0,5.0,5.0,3.0,0,3,3,4,5,2,5.0,0,0
1,0,1,1,1,11.0,0,0,87.0,79.0,85.0,65.0,63.0,71.0,27,62.25,1,0,1,0,4,0,5,1,6,0,3.0,2.0,3.0,3.0,0,3,3,4,4,3,2.0,1,0
1,0,1,1,1,10.0,0,0,70.0,79.0,74.0,73.0,59.0,54.0,176,67.5,1,3,1,0,5,0,20,1,6,2,5.0,5.0,3.0,1.0,2,3,0,4,5,2,5.0,1,0
1,0,1,1,0,12.0,0,0,80.0,83.0,72.0,64.0,70.0,57.0,133,66.0,0,1,1,1,5,0,33,1,5,1,5.0,4.0,5.0,4.0,0,4,3,2,3,2,4.0,1,0
1,0,1,1,0,10.0,0,0,77.0,80.0,77.0,88.0,68.0,58.0,159,73.0,0,3,1,1,5,0,33,1,5,1,4.0,2.0,4.0,3.0,0,3,3,2,5,2,4.0,0,0
1,0,1,1,1,9.0,0,0,73.0,84.0,70.0,56.0,71.0,76.0,119,68.5,0,3,1,1,5,0,20,1,5,0,1.0,1.0,3.0,1.0,0,1,3,2,1,2,2.0,0,0
1,0,1,1,0,10.0,0,0,81.0,80.0,71.0,62.0,63.0,79.0,133,69.25,0,0,1,1,5,0,44,1,5,0,5.0,3.0,4.0,3.0,0,3,3,2,5,2,3.0,0,0
1,0,1,1,1,12.0,0,10,70.0,85.0,79.0,63.0,75.0,79.0,162,74.0,0,3,1,1,5,0,20,1,6,0,3.0,3.0,4.0,1.0,0,0,3,4,1,2,4.0,1,0
1,0,1,1,0,13.0,0,0,76.0,80.0,84.0,79.0,63.0,67.0,52,66.75,1,0,1,0,5,0,20,1,5,0,4.0,3.0,5.0,2.0,2,1,3,4,4,2,3.0,1,0
1,0,1,1,0,10.0,0,0,73.0,88.0,91.0,69.0,80.0,72.0,78,71.0,1,0,1,0,5,0,20,1,5,0,4.0,3.0,2.0,3.0,0,3,3,4,0,2,3.0,0,0
1,0,1,1,0,10.0,0,0,84.0,93.0,81.0,85.0,40.0,77.0,113,68.0,1,3,1,0,5,5,5,1,5,0,5.0,5.0,5.0,3.0,1,1,3,2,5,2,5.0,0,0
1,0,1,1,1,11.0,0,0,79.0,83.0,70.0,67.0,72.0,83.0,81,71.5,0,0,1,1,0,5,33,1,5,0,4.0,3.0,5.0,4.0,1,1,3,4,5,2,3.0,0,0
1,0,1,1,1,10.0,0,0,76.0,79.0,88.0,73.0,63.0,74.0,113,70.0,0,0,1,1,0,0,33,1,5,0,4.0,4.0,5.0,4.0,4,2,3,4,5,2,4.0,1,0
1,0,1,1,0,12.0,0,10,88.0,78.0,79.0,66.0,52.0,71.0,127,65.25,1,0,2,0,0,5,33,1,5,0,5.0,1.0,3.0,2.0,0,3,2,2,5,2,3.0,1,0
1,0,1,1,1,10.0,0,0,82.0,81.0,72.0,65.0,65.0,60.0,103,64.5,0,0,1,1,5,0,20,1,5,1,4.0,2.0,3.0,3.0,0,1,3,4,3,3,3.0,0,0
1,0,1,1,0,9.0,0,0,84.0,96.0,83.0,72.0,68.0,49.0,107,64.5,0,0,1,1,5,5,55,1,5,2,4.0,1.0,1.0,1.0,0,1,3,4,5,2,5.0,0,0
1,0,1,1,0,9.0,0,0,82.0,99.0,80.0,73.0,68.0,57.0,167,69.75,1,1,1,0,0,0,44,1,6,1,5.0,3.0,5.0,2.0,0,3,3,4,5,2,4.0,1,0
1,0,1,1,0,10.0,0,0,87.0,88.0,75.0,84.0,53.0,74.0,194,75.5,1,3,1,0,5,0,44,1,5,0,4.0,3.0,5.0,2.0,2,3,3,4,4,2,4.0,1,0
1,0,1,1,0,11.0,0,10,75.0,79.0,82.0,64.0,51.0,69.0,58,60.75,0,0,1,1,4,5,5,1,5,0,5.0,4.0,4.0,3.0,0,4,3,4,1,2,4.0,0,0
1,0,1,1,0,11.0,0,0,85.0,76.0,92.0,62.0,65.0,77.0,49,65.25,0,1,1,1,5,0,33,1,5,0,5.0,2.0,5.0,1.0,0,3,2,4,4,2,4.0,0,0
1,0,1,1,0,11.0,0,0,83.0,92.0,70.0,71.0,71.0,76.0,49,68.75,0,1,1,1,5,0,33,1,5,0,5.0,4.0,4.0,3.0,0,3,3,2,5,2,4.0,0,0
1,0,1,1,0,10.0,0,0,72.0,86.0,84.0,72.0,72.0,62.0,127,69.5,0,3,1,1,5,0,33,1,5,0,4.0,1.0,2.0,1.0,0,3,3,4,5,2,4.0,0,0
1,0,1,1,1,11.0,0,0,84.0,77.0,95.0,74.0,55.0,75.0,61,66.0,0,3,1,1,0,0,33,1,5,2,5.0,5.0,5.0,3.0,0,4,3,4,5,2,4.0,0,0
1,0,1,1,1,11.0,0,10,87.0,91.0,76.0,79.0,73.0,77.0,189,79.25,0,1,1,1,5,0,5,1,5,1,5.0,1.0,2.0,5.0,0,3,3,2,1,2,5.0,0,0
1,0,1,1,1,12.0,0,0,80.0,77.0,75.0,61.0,68.0,72.0,127,68.25,1,3,2,0,5,0,33,1,5,0,5.0,5.0,6.0,2.0,0,4,3,2,1,2,5.0,0,0
1,0,1,1,1,13.0,0,0,87.0,83.0,92.0,67.0,95.0,75.0,68,74.5,1,1,1,0,0,0,55,1,5,1,4.0,5.0,5.0,1.0,0,3,3,2,1,2,4.0,0,0
1,0,1,1,1,10.0,0,0,74.0,86.0,80.0,77.0,74.0,68.0,68,70.0,1,3,1,0,0,5,44,1,5,2,5.0,1.0,3.0,2.0,0,3,3,1,5,2,3.0,1,0
1,0,1,1,1,9.0,0,0,71.0,79.0,87.0,72.0,55.0,70.0,133,67.5,1,0,1,0,0,0,20,1,5,0,5.0,5.0,4.0,2.0,0,4,3,2,5,2,3.0,0,0
1,0,1,1,1,10.0,0,10,75.0,84.0,82.0,58.0,72.0,74.0,165,71.0,0,1,1,1,5,0,20,1,5,2,3.0,5.0,5.0,1.0,0,4,2,2,1,2,5.0,0,0
1,0,1,1,1,12.0,0,0,89.0,73.0,75.0,75.0,74.0,74.0,195,78.75,0,0,1,1,5,0,20,1,5,2,4.0,3.0,5.0,3.0,0,3,0,4,1,2,5.0,0,0
1,0,1,1,1,13.0,0,0,85.0,90.0,88.0,76.0,65.0,76.0,72,69.75,1,0,1,0,0,0,33,1,5,0,5.0,1.0,3.0,1.0,0,1,3,2,5,2,2.0,0,0
1,0,1,1,1,12.0,0,10,80.0,79.0,82.0,93.0,48.0,75.0,36,67.25,0,3,1,1,0,5,44,1,5,1,5.0,5.0,4.0,3.0,2,3,2,4,5,2,5.0,0,0
1,0,1,1,1,11.0,0,0,78.0,90.0,82.0,59.0,61.0,75.0,72,64.25,0,0,1,1,5,0,44,1,5,1,4.0,3.0,4.0,3.0,1,3,3,2,5,2,2.0,0,0
1,0,1,1,1,10.0,0,0,83.0,83.0,77.0,91.0,75.0,48.0,119,71.25,0,0,1,1,0,0,33,1,5,0,5.0,2.0,5.0,5.0,0,1,3,2,3,2,5.0,1,0
1,0,1,1,0,11.0,0,10,77.0,88.0,76.0,68.0,74.0,77.0,49,69.0,0,0,1,1,0,0,20,1,5,0,5.0,3.0,5.0,4.0,2,6,2,4,1,2,4.0,1,0
1,0,1,1,0,11.0,0,0,79.0,79.0,77.0,87.0,73.0,56.0,162,73.75,0,0,1,1,5,0,33,1,5,0,5.0,3.0,4.0,3.0,0,1,2,4,1,2,4.0,0,0
1,0,1,1,0,12.0,0,0,96.0,90.0,71.0,65.0,82.0,61.0,139,70.5,0,3,1,1,5,0,20,1,5,1,5.0,4.0,4.0,3.0,0,1,3,4,1,2,4.0,0,0
1,0,1,1,1,12.0,0,0,87.0,76.0,81.0,37.0,57.0,66.0,49,54.25,0,0,1,1,5,0,5,1,5,0,4.0,2.0,3.0,1.0,0,3,0,4,5,2,3.0,0,0
1,0,1,1,0,11.0,1,0,93.0,72.0,78.0,71.0,84.0,54.0,167,72.5,0,5,1,1,5,0,55,1,5,0,4.0,5.0,5.0,1.0,2,6,3,4,1,2,5.0,0,0
