geographic_zone,school_type,gender,age_at_start_of_academic_year,class_level,grade_repetition_count,term_1_attendance,term_2_attendance,english_exam_score,math_exam_score,science_exam_score,social_studies_exam_score,average_exam_score,grade_repetition_count_missing,attendance_risk_index,dropout_label
0,1,0,13.0,3,0.0,82.0,85.0,76.0,75.0,72.0,80.0,75.75,0,0.16200000000000003,0
1,1,0,10.0,1,0.0,92.0,85.0,69.0,57.0,68.0,68.0,65.5,0,0.122,0
1,1,0,13.0,4,0.0,86.0,99.0,68.0,58.0,62.0,86.0,68.5,0,0.06200000000000001,0
0,0,0,14.0,3,0.0,85.0,77.0,60.0,56.0,48.0,53.0,54.25,0,0.198,0
1,1,0,12.0,2,0.0,82.1,73.9,66.0,90.3,69.1,52.5,69.475,0,0.22819999999999996,0
1,1,1,8.0,1,0.0,78.0,74.0,66.0,74.0,70.0,74.0,71.0,0,0.244,0
0,1,0,10.7,3,0.0,81.6,78.1,80.4,74.3,55.0,81.9,72.9,1,0.20500000000000007,0
1,1,0,12.0,3,0.0,87.0,93.0,94.0,54.0,54.0,61.0,65.75,0,0.09399999999999997,0
0,1,0,12.8,3,0.0,79.4,77.3,66.3,76.0,64.6,77.6,71.125,0,0.21859999999999996,0
1,1,1,6.0,0,0.0,88.0,92.0,94.0,73.0,61.0,62.0,72.5,0,0.09599999999999997,0
0,0,0,14.5,4,0.0,77.5,77.6,53.2,62.8,60.6,55.4,58.0,0,0.22440000000000004,0
0,0,0,13.0,4,0.0,80.0,81.0,67.0,61.0,56.0,67.0,62.75,0,0.19399999999999995,0
0,1,0,13.0,2,0.0,74.0,70.0,58.0,57.0,63.0,63.0,60.25,0,0.28400000000000003,0
0,1,1,10.0,4,0.0,83.0,85.0,79.0,62.0,60.0,74.0,68.75,0,0.15800000000000003,0
1,1,0,13.0,4,0.0,88.0,97.0,83.0,90.0,88.0,88.0,87.25,0,0.06600000000000002,0
1,1,1,13.3,2,0.0,79.3,88.0,65.5,61.9,69.7,65.3,65.60000000000001,1,0.15480000000000005,0
1,1,1,13.0,4,0.0,96.0,93.0,93.0,48.0,50.0,96.0,71.75,0,0.05799999999999998,0
1,1,0,12.0,2,0.0,95.0,89.0,76.0,56.0,52.0,75.0,64.75,0,0.08600000000000001,0
0,1,0,15.0,4,1.0,73.0,73.0,59.0,63.0,56.0,63.0,60.25,0,0.27,0
1,1,0,13.0,4,0.0,88.0,94.0,88.0,72.0,81.0,88.0,82.25,0,0.08400000000000003,0
