school_code,geographic_zone,school_type,data_source,gender,age_at_start_of_academic_year,class_level,grade_repetition_count,term_1_attendance,term_2_attendance,term_3_attendance,average_attendance,english_exam_score,math_exam_score,science_exam_score,social_studies_exam_score,average_exam_score,school_feeding_status,leap_beneficiary_status,travel_time_to_school,mode_of_transport_to_school,govt_support,parent_guardian_education_level,parent_guardian_occupation,no_of_siblings_in_school,home_has_electricity,own_textbooks,daily_study_hours_at_home,safety_at_home,safety_at_school,teacher_support_rating,school_enjoyment,missed_school_for_choreswork,missed_school_due_to_illness,barriers_to_regular_attendance,family_income_level,parent_attends_school_events,behaviour_warnings_punishments,class_participation,extracurricular_activities,dropout_label
KNU_JHS,Peri-urban,Public,Both,Male,9.0,P4,0,77.0,77.0,75.0,76.33333333333333,66.0,68.0,54.0,56,61.0,0,No,15-30 min,Walk,Yes,JHS,Farming/fishing,3,1,No-borrow/share,1-2 hrs,4.0,5.0,5.0,5.0,Yes,No,Help at home,Medium,Rarely,Once,5.0,2 activities,0
WEWE,Rural,Public,Both,Female,8.0,P5,0.1,77.8,80.5,83.4,80.56666666666668,70.7,56.7,76.3,65.1,67.19999999999999,1,No,Less than 15 min,Car/trotro/bus,Yes,SHS,Skilled trade,2.7,1,Yes-some subjects,More than 2 hrs,1.7,2.8,3.0,4.0,Yes,No,Work to earn,Medium,Often,Once,1.9,1 activity,0
KNU_JHS,Peri-urban,Public,Both,Male,13.4,JHS2,0,71.9,71.9,71.3,77.0,52.9,57.4,60.6,58.5,57.35,0,Yes,30-60 min,Car/trotro/bus,Yes,SHS,Skilled trade,3.7,1,No-borrow/share,1-2 hrs,4.9,2.7,3.8,3.9,Yes,Yes-more than once,Long distance/transport,Low,Sometimes,More than 3 times,5.1,1 activity,0
WEWE,Rural,Public,Both,Male,9.0,P5,2,20.0,37.0,0.0,19.0,29.0,16.0,11.0,47,25.75,1,No,More than 1 hour,Walk,No,JHS,Farming/fishing,9,0,No textbooks,Less than 1 hr,2.0,2.0,2.0,1.0,Yes,No,Nothing-come regularly,Low,Rarely,2-3 times,1.0,1 activity,1
WEWE,Rural,Public,Both,Male,12.0,JHS1,1,94.0,88.0,88.0,90.0,45.0,87.0,64.0,71,66.75,1,No,More than 1 hour,Car/trotro/bus,No,SHS,Farming/fishing,2,0,Yes-some subjects,1-2 hrs,5.0,5.0,5.0,5.0,No,No,Nothing-come regularly,Medium,Often,Never,5.0,1 activity,0
WEWE,Rural,Public,Both,Female,12.0,JHS1,0,97.0,93.0,93.0,94.33333333333331,47.0,40.0,67.0,46,50.0,1,Yes,More than 1 hour,Car/trotro/bus,Yes,Tertiary,Farming/fishing,2,0,Yes-some subjects,More than 2 hrs,5.0,5.0,5.0,5.0,No,No,Nothing-come regularly,High,Always,Once,5.0,2 activities,0
KNU_JHS,Peri-urban,Public,Questionnaire,Female,10.0,JHS1,0,84.0,93.0,81.0,86.0,85.0,40.0,77.0,70,68.0,0,Unknown,Less than 15 min,Car/trotro/bus,Don't know,Tertiary,Trading/market,1,1,Yes-all subjects,1-2 hrs,5.0,5.0,5.0,3.0,No ,No,Nothing-come regularly,High,Sometimes,Never,5.0,1 activity,0
WEWE,Rural,Public,Both,Male,13.0,JHS2,0,88.0,89.0,89.0,88.66666666666667,64.0,93.0,60.0,88,76.25,1,Yes,30-60 min,Car/trotro/bus,Yes,SHS,Skilled trade,12,1,Yes-some subjects,More than 2 hrs,3.0,5.0,3.0,5.0,No,No,Nothing-come regularly,Don't know,Always,Never,5.0,,0
WEWE,Rural,Public,Both,Male,8.0,P5,0,96.0,90.0,90.0,92.0,66.0,55.0,65.0,96,70.5,1,Yes,15-30 min,Car/trotro/bus,Yes,JHS,Employed,,1,Yes-some subjects,More than 2 hrs,3.0,3.0,3.0,3.0,No,"Yes, once",Nothing-come regularly,High,Sometimes,Never,3.0,1 activity,0
WEWE,Rural,Public,Both,Female,6.0,P4,0.7,83.5,86.0,82.6,84.03333333333333,78.8,72.1,81.3,84,79.05,1,No,Less than 15 min,Car/trotro/bus,No,Tertiary,Trading/market,5.2,1,Yes-some subjects,More than 2 hrs,3.9,4.1,4.6,2.7,Yes,No,Nothing-come regularly,Medium,Often,Once,4.1,2 activities,0
