Rank,Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC,PR-AUC,Category
1,Original,0.995,1.0,0.9444,0.9843,0.9988,0.9899,Augmentation
2,Original,0.995,1.0,0.9444,0.9843,0.9983,0.9861,Augmentation
3,SMOTE,0.995,1.0,0.9444,0.9843,0.9979,0.9844,Augmentation
4,SMOTE,0.995,1.0,0.9444,0.9843,0.9974,0.9815,Augmentation
5,Original,0.995,1.0,0.9444,0.9843,0.9963,0.9778,Augmentation
6,Original,0.995,1.0,0.9444,0.9843,0.9954,0.9747,Augmentation
7,SMOTE,0.99,0.9444,0.9444,0.9695,0.9951,0.9739,Augmentation
8,SMOTE,0.995,1.0,0.9444,0.9843,0.9908,0.9653,Augmentation
9,SMOTE,0.99,0.9444,0.9444,0.9695,0.9701,0.9531,Augmentation
10,Original,0.995,1.0,0.9444,0.9843,0.9722,0.9494,Augmentation
11,Original,0.975,0.8095,0.9444,0.929,0.971,0.9471,Augmentation
12,SMOTE,0.985,0.8947,0.9444,0.9553,0.9692,0.897,Augmentation
