Experiment,Model,Accuracy,Precision,Recall,F1,ROC_AUC,PR_AUC,Time_s
Original,Logistic Regression,0.975,0.8095,0.9444,0.929,0.971,0.9471,1.0
Original,Decision Tree,0.995,1.0,0.9444,0.9843,0.9722,0.9494,0.03
Original,Random Forest,0.995,1.0,0.9444,0.9843,0.9983,0.9861,0.84
Original,XGBoost,0.995,1.0,0.9444,0.9843,0.9963,0.9778,1.22
Original,LightGBM,0.995,1.0,0.9444,0.9843,0.9954,0.9747,0.58
Original,CatBoost,0.995,1.0,0.9444,0.9843,0.9988,0.9899,1.18
SMOTE,Logistic Regression,0.99,0.9444,0.9444,0.9695,0.9701,0.9531,1.81
SMOTE,Decision Tree,0.985,0.8947,0.9444,0.9553,0.9692,0.897,0.06
SMOTE,Random Forest,0.995,1.0,0.9444,0.9843,0.9974,0.9815,1.02
SMOTE,XGBoost,0.995,1.0,0.9444,0.9843,0.9979,0.9844,0.5
SMOTE,LightGBM,0.995,1.0,0.9444,0.9843,0.9908,0.9653,1.87
SMOTE,CatBoost,0.99,0.9444,0.9444,0.9695,0.9951,0.9739,1.82
CTGAN_250,Logistic Regression,0.97,0.7727,0.9444,0.9167,0.9814,0.9571,0.3
CTGAN_250,Decision Tree,0.975,0.7826,1.0,0.9321,0.9899,0.8323,0.02
CTGAN_250,Random Forest,0.995,1.0,0.9444,0.9843,0.9956,0.9739,0.59
CTGAN_250,XGBoost,0.995,1.0,0.9444,0.9843,0.9942,0.9715,0.19
CTGAN_250,LightGBM,0.995,1.0,0.9444,0.9843,0.9933,0.9694,0.38
CTGAN_250,CatBoost,0.995,1.0,0.9444,0.9843,0.9963,0.9778,0.93
CTGAN_500,Logistic Regression,0.98,0.85,0.9444,0.9418,0.9872,0.9611,0.39
CTGAN_500,Decision Tree,0.99,0.9444,0.9444,0.9695,0.9695,0.897,0.02
CTGAN_500,Random Forest,0.995,1.0,0.9444,0.9843,0.9916,0.9662,0.62
CTGAN_500,XGBoost,0.995,1.0,0.9444,0.9843,0.9921,0.9672,0.22
CTGAN_500,LightGBM,0.995,1.0,0.9444,0.9843,0.9963,0.9778,0.41
CTGAN_500,CatBoost,0.975,0.8095,0.9444,0.929,0.9963,0.9778,0.7
