Rank,Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC,Category
1,CTGAN_250,0.995,1.0,0.9444,0.9843,0.9963,Baseline
2,CTGAN_500,0.995,1.0,0.9444,0.9843,0.9963,Baseline
3,CTGAN_250,0.995,1.0,0.9444,0.9843,0.9956,Baseline
4,CTGAN_250,0.995,1.0,0.9444,0.9843,0.9942,Baseline
5,CTGAN_250,0.995,1.0,0.9444,0.9843,0.9933,Baseline
6,CTGAN_500,0.995,1.0,0.9444,0.9843,0.9921,Baseline
7,CTGAN_500,0.995,1.0,0.9444,0.9843,0.9916,Baseline
8,CTGAN_500,0.99,0.9444,0.9444,0.9695,0.9695,Baseline
9,CatBoost,0.992,0.9777089783281736,0.9350877192982456,0.9555054302422724,0.9909712835708764,Baseline
10,LightGBM,0.991,0.9694736842105264,0.9350877192982456,0.9506198765022296,0.9805002306020044,Baseline
11,CTGAN_500,0.98,0.85,0.9444,0.9418,0.9872,Baseline
12,XGBoost,0.989,0.9682352941176472,0.9134502923976608,0.938901098901099,0.9842777896717996,Baseline
13,Random Forest,0.989,1.0,0.8807017543859651,0.9360852219675748,0.9969075809654466,Baseline
14,CTGAN_250,0.975,0.7826,1.0,0.9321,0.9899,Baseline
15,Logistic Regression,0.987,0.9162573099415204,0.9461988304093566,0.930298719772404,0.9750167315157136,Baseline
16,CTGAN_500,0.975,0.8095,0.9444,0.929,0.9963,Baseline
17,Decision Tree,0.985,0.9222222222222222,0.924561403508772,0.9203907203907205,0.9578759904435972,Baseline
18,CTGAN_250,0.97,0.7727,0.9444,0.9167,0.9814,Baseline
