Feature,Mean_Abs_SHAP
num__average_exam_score,0.06533594138291171
num__term_2_attendance,0.04021624817854041
num__term_3_attendance,0.03910409253438593
num__average_attendance,0.03561752877296445
num__term_1_attendance,0.033459394877241366
num__math_exam_score,0.030547702280853697
cat__family_income_level_Low,0.028471345776683844
num__science_exam_score,0.02364081204761563
cat__barriers_to_regular_attendance_Nothing-come regularly,0.02021142956536523
num__english_exam_score,0.020116028818623854
num__safety_at_home,0.014407620034938017
cat__grade_repetition_count_2,0.012249713704811364
cat__family_income_level_Medium,0.011501534389902146
cat__behaviour_warnings_punishments_Never,0.01087487578823864
cat__grade_repetition_count_0,0.009425397793183
cat__parent_guardian_occupation_No paid work,0.008736438965347856
cat__family_income_level_High,0.00866854780860703
cat__daily_study_hours_at_home_Less than 1 hr,0.008190253596548729
cat__missed_school_for_choreswork_Yes,0.008127718980179312
cat__parent_guardian_education_level_JHS,0.008093665793562865
num__home_has_electricity,0.007513877564016281
cat__parent_guardian_education_level_Tertiary,0.007318604562218309
cat__own_textbooks_No textbooks,0.007009414184550834
cat__missed_school_due_to_illness_Yes-more than once,0.006241817340162674
num__class_participation,0.006148317298774666
cat__barriers_to_regular_attendance_Work to earn,0.00577650376199383
cat__behaviour_warnings_punishments_2-3 times,0.0057739509272655394
cat__own_textbooks_Yes-some subjects,0.005768005110598647
num__teacher_support_rating,0.005192911117554241
cat__parent_guardian_occupation_Employed,0.004980854919606551
cat__missed_school_for_choreswork_No,0.004776768797121831
cat__class_level_JHS2,0.004613006545659316
cat__missed_school_due_to_illness_No,0.00401649091141476
cat__parent_attends_school_events_Always,0.0037465854730792656
cat__mode_of_transport_to_school_Walk,0.00364402686021331
cat__school_code_SHI,0.003422704784023588
cat__parent_attends_school_events_Rarely,0.0034004020876164513
cat__parent_attends_school_events_Never,0.003079255811792164
cat__school_type_Private,0.0029849085843308243
cat__class_level_JHS1,0.0029314390692805146
cat__travel_time_to_school_More than 1 hour,0.0026775884891211883
cat__travel_time_to_school_15-30 min,0.0025737529768626094
num__age_at_start_of_academic_year,0.0025572848527957155
cat__daily_study_hours_at_home_More than 2 hrs,0.002275036412116498
num__safety_at_school,0.002255431619141624
cat__parent_guardian_occupation_Not collected,0.0022042835788775666
num__school_enjoyment,0.0021684178935369633
cat__school_type_Public,0.0021097232294625644
cat__no_of_siblings_in_school_r,0.002056577595710813
cat__school_code_KNU_JHS,0.0019951769241186076
cat__school_code_WEWE,0.0019409620528116037
cat__travel_time_to_school_Less than 15 min,0.0018309228530366973
cat__behaviour_warnings_punishments_Once,0.0017383269849273832
cat__missed_school_due_to_illness_Yes-once,0.0014810444737887736
cat__leap_beneficiary_status_Yes,0.0014446629871559696
cat__no_of_siblings_in_school_3,0.001388350112964869
cat__gender_Male,0.0013229154675736396
cat__class_level_P4,0.0012978412047279012
"cat__missed_school_due_to_illness_Yes, once",0.0012624042324600045
cat__parent_guardian_education_level_SHS,0.0011707018020890706
cat__social_studies_exam_score_87,0.001155680161857475
cat__govt_support_Don't know,0.0011500644999308026
cat__parent_guardian_occupation_Trading/market,0.0010512961628089755
cat__no_of_siblings_in_school_1,0.0010456425153294146
cat__parent_guardian_occupation_Farming/fishing,0.0010382395182345966
cat__gender_Female,0.0009809452273720196
cat__geographic_zone_Rural,0.0008727635154645825
cat__geographic_zone_Peri-urban,0.0008539726215788286
cat__parent_guardian_occupation_Skilled trade,0.0008461773570691813
cat__parent_attends_school_events_Sometimes,0.0008333832493103834
cat__mode_of_transport_to_school_Car/trotro/bus,0.000803185839522142
cat__social_studies_exam_score_56,0.000801987097892759
cat__no_of_siblings_in_school_2,0.0007908212045023998
cat__barriers_to_regular_attendance_Help at home,0.0007577813404744406
cat__grade_repetition_count_2.5,0.0007072371828440612
cat__grade_repetition_count_3,0.000698128188320477
cat__leap_beneficiary_status_No,0.0006929744577334247
cat__social_studies_exam_score_57,0.0006617491556756041
cat__govt_support_No,0.0006609727252096195
cat__travel_time_to_school_30-60 min,0.0006597093234323496
num__school_feeding_status,0.0006199491431913434
cat__barriers_to_regular_attendance_Safety on way,0.0006088775988154597
cat__daily_study_hours_at_home_1-2 hrs,0.0006007930509005837
cat__social_studies_exam_score_47,0.0005631902533510792
cat__no_of_siblings_in_school_1.9,0.0005591838800546095
cat__govt_support_Yes,0.0005554841272700665
cat__social_studies_exam_score_30,0.0005029691343117413
cat__social_studies_exam_score_55,0.0004932402710314677
cat__social_studies_exam_score_50,0.0004894662917017445
cat__data_source_Questionnaire,0.0004117373504345529
cat__own_textbooks_Yes-all subjects,0.00039418422949113194
cat__parent_attends_school_events_Often,0.0003846987563033989
cat__parent_guardian_education_level_Don't know,0.00035467734227526414
cat__behaviour_warnings_punishments_More than 3 times,0.00034566210537248835
cat__grade_repetition_count_1,0.0003409387139246264
cat__extracurricular_activities_1 activity,0.00033560752748163484
cat__barriers_to_regular_attendance_Long distance/transport,0.00032407846082420545
cat__no_of_siblings_in_school_4,0.00030772169967427767
cat__leap_beneficiary_status_Unknown,0.00030751301227405816
cat__school_code_AYED_RC,0.0002939754813447931
cat__social_studies_exam_score_58,0.0002884757505727804
cat__social_studies_exam_score_48,0.000274053696356002
cat__social_studies_exam_score_46,0.00022366675417064843
cat__own_textbooks_No-borrow/share,0.0002059536523372936
cat__social_studies_exam_score_51.6,0.00020519928135563935
cat__social_studies_exam_score_68,0.0001813422917050564
cat__social_studies_exam_score_52,0.00017275167765079075
cat__grade_repetition_count_0.1,0.0001652546440531958
cat__grade_repetition_count_0.8,0.00016155388308044846
cat__social_studies_exam_score_60,0.00015703252753948845
cat__no_of_siblings_in_school_2.3,0.00015634861739210868
