Fold,Baseline_AUC_PR,ELightGBM_AUC_PR
1,1.0,0.9835457038565913
2,0.9861111111111112,0.9814814814814814
3,0.9970760233918129,0.997076023391813
4,0.9776714513556617,0.97005710757833
5,0.9049082575398364,0.9082227831522256
6,1.0000000000000002,1.0
7,0.9656989696463381,0.9735067516285267
8,0.9756944444444444,0.9738562091503268
9,0.9791423001949315,0.9922173855691858
10,0.9999999999999998,1.0
11,1.0,1.0000000000000002
12,1.0,1.0
13,0.9767025089605736,0.9789272030651341
14,0.9999999999999998,0.9999999999999998
15,0.9676427911884975,0.9712573760948374
16,0.9879227053140098,0.9801587301587302
17,0.9970760233918129,0.9944444444444445
18,1.0,1.0000000000000002
19,0.9999999999999998,0.9999999999999998
20,0.9928229665071766,0.9922173855691858
21,0.9944444444444446,0.980914124909223
22,0.997076023391813,0.9970760233918129
23,1.0,1.0
24,0.9710931174089066,0.9761571199626409
25,0.9999999999999998,0.9999999999999998
