contrast,seed,ref_mean,test_mean,diff_mean,sign,wilcoxon_p,cohens_d,ci95_lo,ci95_hi,n_folds
MATCHED (1 change: objective only),42,0.9841109853719643,0.9806806196928293,-0.0034303656791349903,-,0.01907646884813539,-0.159237462813502,-0.0063558201445519874,-0.0010638471711834864,25
MATCHED (1 change: objective only),123,0.9821576724461681,0.9795880154264591,-0.0025696570197089887,-,0.03847719206839089,-0.09043357907166587,-0.0046393463828604126,-0.0004577620269185123,25
MATCHED (1 change: objective only),456,0.9772435063772014,0.9743905535199161,-0.002852952857285271,-,0.159035451554693,-0.09938853295357714,-0.006413839842897654,0.00010894321913049674,25
MATCHED (1 change: objective only),789,0.9745665663790978,0.9704715631317135,-0.0040950032473843255,-,0.05125339061386602,-0.10200189591956989,-0.007767728877636243,-0.0007609751032197549,25
MATCHED (1 change: objective only),1024,0.977995511149354,0.9744666443827812,-0.003528866766572634,-,0.06560488370188806,-0.11561973533132695,-0.006186578917304624,-0.0010060384193363344,25
MATCHED (1 change: objective only),2048,0.9795929262436729,0.9770891843499118,-0.002503741893761049,-,0.05126873841350456,-0.08776326782393573,-0.004973631365247049,-0.0001811913462931222,25
MATCHED (1 change: objective only),3333,0.9854338154643023,0.9821526650425622,-0.003281150421740051,-,0.21763639058723971,-0.15367688915402075,-0.007490439993442349,0.0005698247648728352,25
MATCHED (1 change: objective only),5555,0.9844666453978347,0.9807720079589596,-0.0036946374388752367,-,0.13649771056887278,-0.1755992436632845,-0.007772784435382326,7.937596597701693e-05,25
MATCHED (1 change: objective only),7777,0.9857223517796657,0.982715185478323,-0.0030071663013427363,-,0.06032037070660072,-0.15597000674368036,-0.005838640528861099,-0.0005447144669833753,25
MATCHED (1 change: objective only),9999,0.9778825427295205,0.9736644439685042,-0.004218098761016429,-,0.017378363446698287,-0.10758685746063053,-0.007504320103706482,-0.0012832022149102246,25
AS PUBLISHED (3 changes),42,0.9833384996288739,0.9806806196928293,-0.002657879936044698,-,0.058573296793890506,-0.11216512070981378,-0.005509526843327308,0.00024827092765956085,25
AS PUBLISHED (3 changes),123,0.9807959197282211,0.9795880154264591,-0.0012079043017619905,-,0.32570827417002757,-0.04074191578501098,-0.003969559480600822,0.0015090789167844269,25
AS PUBLISHED (3 changes),456,0.9739838875488053,0.9743905535199161,0.00040666597111077785,+,1.0,0.013445461964165515,-0.004960057134614166,0.005562856953225893,25
AS PUBLISHED (3 changes),789,0.9756390829117852,0.9704715631317135,-0.00516751978007179,-,0.0051033286471516654,-0.12334539973292002,-0.008661537886405188,-0.002028568889179295,25
AS PUBLISHED (3 changes),1024,0.976839511429091,0.9744666443827812,-0.0023728670463098213,-,0.7509530125383456,-0.07509230148675274,-0.006361521429322493,0.0007713350079674703,25
AS PUBLISHED (3 changes),2048,0.9810594321786571,0.9770891843499118,-0.003970247828745288,-,0.059258247001551335,-0.1373112633912839,-0.00752811232981596,-0.00039457815137400277,25
AS PUBLISHED (3 changes),3333,0.9836609594163752,0.9821526650425622,-0.001508294373812924,-,0.3903676938285392,-0.06542064442353915,-0.0041960658046546985,0.001014571525905146,25
AS PUBLISHED (3 changes),5555,0.9818670294411972,0.9807720079589596,-0.0010950214822376659,-,0.7209122630370843,-0.04589940761735745,-0.004768429903503694,0.0022390964033072456,25
AS PUBLISHED (3 changes),7777,0.9819399213523576,0.982715185478323,0.0007752641259653492,+,0.6318194543788418,0.03442747015228297,-0.0015425610579853477,0.003078444823136176,25
AS PUBLISHED (3 changes),9999,0.9761846142327159,0.9736644439685042,-0.0025201702642119405,-,0.07054241432362086,-0.06235174166210498,-0.005413192228400508,0.00027986350466684557,25
composites only (1 change),42,0.9870439274951233,0.9841109853719643,-0.0029329421231591235,-,0.11186004073658172,-0.15280946374530535,-0.006092875800291166,3.062680160666212e-05,25
composites only (1 change),123,0.9820391440723778,0.9821576724461681,0.00011852837379031645,+,0.6471586491772192,0.004193640167569815,-0.0021188350822675035,0.00233159752120738,25
composites only (1 change),456,0.9759168256539891,0.9772435063772014,0.0013266807232121724,+,0.28669229770266136,0.04684622928273244,-0.0006130947162250711,0.0035891807148564197,25
composites only (1 change),789,0.9762452952409919,0.9745665663790978,-0.0016787288618942452,-,0.20392052140554717,-0.04106312987844151,-0.004027200102857689,0.00043645518661130733,25
composites only (1 change),1024,0.9786697935971059,0.977995511149354,-0.0006742824477519616,-,0.4203136085178214,-0.023697863871932116,-0.003271335362817221,0.002260566623051867,25
composites only (1 change),2048,0.9813388301938124,0.9795929262436729,-0.0017459039501395957,-,0.5508255431498549,-0.06071799961971462,-0.004642410911255148,0.000636560378362187,25
composites only (1 change),3333,0.9856575056800518,0.9854338154643023,-0.00022369021574955905,-,0.36748581296464145,-0.012747590724128252,-0.0018458961965414388,0.001637854489842441,25
composites only (1 change),5555,0.9856288991599268,0.9844666453978347,-0.0011622537620920915,-,0.82464176045995,-0.0648518292478639,-0.004653398397145604,0.002029662479000578,25
composites only (1 change),7777,0.9851041175997932,0.9857223517796657,0.0006182341798723678,+,0.4677166916814839,0.0356898747872454,-0.0009665239725421704,0.002180826332603282,25
composites only (1 change),9999,0.9762317936476643,0.9778825427295205,0.0016507490818561531,+,0.1306650895957666,0.04209959185401053,-0.00013759491685150856,0.003816096712447298,25
focal on raw features (1 change) [MISSING CELL IN R01],42,0.9870439274951233,0.9824957888431669,-0.0045481386519563745,-,0.05328186335798626,-0.19144953859479094,-0.008584011973121997,-0.0010580843690253027,25
focal on raw features (1 change) [MISSING CELL IN R01],123,0.9820391440723778,0.9789806948669735,-0.0030584492054044742,-,0.0024573426409401117,-0.10174159382879248,-0.0048198739709338955,-0.001420755796160235,25
focal on raw features (1 change) [MISSING CELL IN R01],456,0.9759168256539891,0.9738464466701616,-0.0020703789838276434,-,0.18400308768883145,-0.07028090570317551,-0.005131846460026986,0.0010771390775107398,25
focal on raw features (1 change) [MISSING CELL IN R01],789,0.9762452952409919,0.9732367095244794,-0.0030085857165124976,-,0.044914209447912974,-0.07143064899052164,-0.0059154821984062494,-0.00015598111191485956,25
focal on raw features (1 change) [MISSING CELL IN R01],1024,0.9786697935971059,0.9752191280289398,-0.003450665568166098,-,0.03560071215888041,-0.11784354265113592,-0.006528231810868551,-0.0008677312522196163,25
focal on raw features (1 change) [MISSING CELL IN R01],2048,0.9813388301938124,0.9768862716664677,-0.0044525585273447015,-,0.011203567444800439,-0.14722713245018815,-0.008414263598341451,-0.0012830375987300114,25
focal on raw features (1 change) [MISSING CELL IN R01],3333,0.9856575056800518,0.98087982177611,-0.004777683903941887,-,0.034744829264827214,-0.21117823319684517,-0.00883706031192822,-0.001253874508664649,25
focal on raw features (1 change) [MISSING CELL IN R01],5555,0.9856288991599268,0.9815050300826555,-0.004123869077271331,-,0.009882125340139674,-0.192287298976053,-0.008041306488072435,-0.00017824062995317234,25
focal on raw features (1 change) [MISSING CELL IN R01],7777,0.9851041175997932,0.9830806829035933,-0.002023434696199953,-,0.07352297257407742,-0.10461074880923946,-0.004450160526470222,0.00036294411213465256,25
focal on raw features (1 change) [MISSING CELL IN R01],9999,0.9762317936476643,0.9742115489565053,-0.002020244691158899,-,0.14745078480623863,-0.05027927083520004,-0.004375314617242832,0.00031007522241634076,25
"reweighting only, cross-entropy (1 change)",42,0.9841109853719643,0.9834675036138333,-0.0006434817581308838,-,0.4897468926550186,-0.03338545738301427,-0.0024611858148484616,0.0010966263098189906,25
"reweighting only, cross-entropy (1 change)",123,0.9821576724461681,0.9813242999328792,-0.0008333725132889747,-,0.27147488814488707,-0.03031410683990567,-0.0022035272540672415,0.00042865000772351246,25
"reweighting only, cross-entropy (1 change)",456,0.9772435063772014,0.9762195069451058,-0.0010239994320954571,-,0.24846555845586238,-0.0377930084998221,-0.0031875081087790243,0.0012464834103770057,25
"reweighting only, cross-entropy (1 change)",789,0.9745665663790978,0.9741782485487618,-0.0003883178303360069,-,0.5221392638906928,-0.01006002767724767,-0.002180818877048052,0.0015284758137669259,25
"reweighting only, cross-entropy (1 change)",1024,0.977995511149354,0.9787137476054798,0.0007182364561259469,+,1.0,0.024765105753420218,-0.0012181693702888984,0.003053719406728387,25
"reweighting only, cross-entropy (1 change)",2048,0.9795929262436729,0.9763553040725885,-0.003237622171084311,-,0.0730380507282532,-0.11012986135604755,-0.006053662342739412,-0.000648207529803991,25
"reweighting only, cross-entropy (1 change)",3333,0.9854338154643023,0.9846217764603667,-0.000812039003935534,-,0.5538116742014247,-0.04227612444512308,-0.0034331785474218403,0.001721084650975464,25
"reweighting only, cross-entropy (1 change)",5555,0.9844666453978347,0.983313644186665,-0.001153001211169875,-,0.23273579009607182,-0.06181258349940734,-0.0036131955437063586,0.0013378962275464605,25
"reweighting only, cross-entropy (1 change)",7777,0.9857223517796657,0.9834598294366418,-0.0022625223430237052,-,0.11169650413134609,-0.125705359153694,-0.004708771521059094,-1.7954534998499702e-06,25
"reweighting only, cross-entropy (1 change)",9999,0.9778825427295205,0.9760386008144982,-0.0018439419150221602,-,0.06858356338728268,-0.04905628202839889,-0.003294681412264986,-0.000406515813453747,25
reweighting on top of focal (1 change),42,0.9806806196928293,0.9806806196928293,0.0,-,1.0,0.0,0.0,0.0,25
