contrast,seed,ref_mean,test_mean,diff_mean,sign,wilcoxon_p,cohens_d,ci95_lo,ci95_hi,n_folds
MATCHED (1 change: objective only),42,0.9924974364468053,0.9890626681478628,-0.003434768298942772,-,0.016379852886194788,-0.20310703239551442,-0.007063903319765159,-0.0006956405171848168,25
MATCHED (1 change: objective only),123,0.9871383959774604,0.9832732890113647,-0.003865106966095988,-,0.029335827429784998,-0.1420360849616227,-0.008229631968225855,-0.0005572734748617758,25
MATCHED (1 change: objective only),456,0.9854367886675067,0.984110965591374,-0.0013258230761326794,-,0.14844004733006796,-0.07476483172110328,-0.002919366988360808,0.0001181617707198258,25
MATCHED (1 change: objective only),789,0.9795954251701491,0.9775970761682852,-0.001998349001863815,-,0.2889698335061083,-0.05641671956616456,-0.005008450458395458,0.0007786498297409684,25
MATCHED (1 change: objective only),1024,0.9874954765601176,0.9836116125118031,-0.0038838640483145914,-,0.034241376318445815,-0.15591970765387764,-0.006764576720857513,-0.0013344794343113427,25
MATCHED (1 change: objective only),2048,0.9849253914783875,0.983517120269687,-0.00140827120870068,-,0.2470210580743627,-0.060315523821324754,-0.004186348453612189,0.001121787466020291,25
MATCHED (1 change: objective only),3333,0.9891976794807791,0.9884232851607312,-0.0007743943200478753,-,0.7749249837366979,-0.04661305594962688,-0.0032064953478773096,0.0015872049327405864,25
MATCHED (1 change: objective only),5555,0.9898171396763834,0.9868780796361086,-0.002939060040274608,-,0.012033800608643027,-0.17098629093776063,-0.005803211700580105,-0.000630533333063706,25
MATCHED (1 change: objective only),7777,0.9900863906114714,0.9891914661885062,-0.000894924422965131,-,0.48936627665543564,-0.06895436664628327,-0.0035758986593042133,0.0017067801358060044,25
MATCHED (1 change: objective only),9999,0.9823657782198887,0.9806946182403646,-0.0016711599795240638,-,0.1359020498139904,-0.048738018831586544,-0.004047423612460255,0.000416167303828883,25
AS PUBLISHED (3 changes),42,0.9906761089051004,0.9890626681478628,-0.0016134407572377274,-,0.624806064758465,-0.08735508197298691,-0.006156673104464465,0.0026737371103208022,25
AS PUBLISHED (3 changes),123,0.9859198502774302,0.9832732890113647,-0.002646561266065719,-,0.2042881734857418,-0.09312214346414102,-0.006192707638767791,0.0005232220907804766,25
AS PUBLISHED (3 changes),456,0.9845839301491666,0.984110965591374,-0.0004729645577925501,-,0.7034470736325511,-0.022254564322057382,-0.00561749353672554,0.005168089939447816,25
AS PUBLISHED (3 changes),789,0.9802677658502443,0.9775970761682852,-0.002670689681959093,-,0.07914110927449243,-0.07417249560869912,-0.006358419570626882,0.001404283301181592,25
AS PUBLISHED (3 changes),1024,0.9841691880561251,0.9836116125118031,-0.0005575755443219598,-,0.8403741860492531,-0.019981394533645242,-0.004654902889835322,0.003750530181344651,25
AS PUBLISHED (3 changes),2048,0.9864500044243613,0.983517120269687,-0.00293288415467432,-,0.06725913065927369,-0.12650978140880495,-0.007727763678697375,0.00284962159916287,25
AS PUBLISHED (3 changes),3333,0.9906932125382422,0.9884232851607312,-0.002269927377510923,-,0.22399914829652823,-0.14209385868838856,-0.0058912573705096885,0.001351336121928952,25
AS PUBLISHED (3 changes),5555,0.9903089514843971,0.9868780796361086,-0.0034308718482885057,-,0.12085155674339498,-0.19971632487222335,-0.007316575905014504,0.00018188181221480667,25
AS PUBLISHED (3 changes),7777,0.9902783255452428,0.9891914661885062,-0.0010868593567365358,-,0.17675970432232824,-0.07897387752002986,-0.003432983424865823,0.001348298138906494,25
AS PUBLISHED (3 changes),9999,0.9826935446791129,0.9806946182403646,-0.0019989264387480386,-,0.21090882827373136,-0.05767364275762739,-0.006875783750644152,0.0025687596698420463,25
composites only (1 change),42,0.9902844955918987,0.9924974364468053,0.00221294085490662,+,0.10873250986269083,0.13482942213039184,-8.812501589262082e-05,0.0050824438866437175,25
composites only (1 change),123,0.9843511337775754,0.9871383959774604,0.0027872621998849922,+,0.3134077545844637,0.10360564563477956,-0.0012882245136091265,0.008587767565985453,25
composites only (1 change),456,0.9833981117658692,0.9854367886675067,0.0020386769016374684,+,0.2478479894837009,0.1016849369561809,-0.0016050364723241793,0.005855178818080264,25
composites only (1 change),789,0.9771582339137262,0.9795954251701491,0.0024371912564226683,+,0.49749247381370276,0.06460068672490782,-0.0006180060048263464,0.00584963754122477,25
composites only (1 change),1024,0.9826871096791524,0.9874954765601176,0.0048083668809652865,+,0.030076837259513368,0.18971222651165956,0.001646433717955483,0.008072345804381554,25
composites only (1 change),2048,0.9852986949059027,0.9849253914783875,-0.0003733034275149993,-,0.5859643604931581,-0.015285508619545111,-0.002201703867533961,0.0015112452366498154,25
composites only (1 change),3333,0.9900138456537428,0.9891976794807791,-0.0008161661729637526,-,0.40767774806277246,-0.049514334542760434,-0.003346144593073935,0.001687454941632424,25
composites only (1 change),5555,0.9877522244328967,0.9898171396763834,0.0020649152434866693,+,0.550693699578914,0.12627136951856513,-0.0014010305404213218,0.006400313901784525,25
composites only (1 change),7777,0.9885345321758243,0.9900863906114714,0.0015518584356470288,+,0.23630133663515873,0.11677829192165384,-0.0013540236645064269,0.004577908628593007,25
composites only (1 change),9999,0.9822606495539271,0.9823657782198887,0.00010512866596177783,+,0.9546160604595111,0.0030037789635682316,-0.0028899684048080796,0.003427481088706062,25
focal on raw features (1 change) [MISSING CELL IN R01],42,0.9902844955918987,0.9880054307115087,-0.002279064880389989,-,0.045773623580433534,-0.11314930870289132,-0.00410585863597619,-0.0008059620870680503,25
focal on raw features (1 change) [MISSING CELL IN R01],123,0.9843511337775754,0.9834364941426662,-0.0009146396349092977,-,0.40767774806277246,-0.031877237644193215,-0.003623743723206569,0.0020692349747793983,25
focal on raw features (1 change) [MISSING CELL IN R01],456,0.9833981117658692,0.9797427678543065,-0.003655343911562867,-,0.020667391649695697,-0.1561025029966591,-0.00661183552585378,-0.0011671726005154529,25
focal on raw features (1 change) [MISSING CELL IN R01],789,0.9771582339137262,0.9763713192460645,-0.0007869146676618665,-,0.8868481002576105,-0.020110353127234804,-0.0037515634091732255,0.0019449872656785421,25
focal on raw features (1 change) [MISSING CELL IN R01],1024,0.9826871096791524,0.9796641460550682,-0.0030229636240841763,-,0.17735493584357054,-0.10245600861405438,-0.006510488069237417,-0.0002427435245116935,25
focal on raw features (1 change) [MISSING CELL IN R01],2048,0.9852986949059027,0.9813603743419281,-0.003938320563974597,-,0.04606287862245314,-0.14296865263472402,-0.007716516320489627,-0.0007684906187101008,25
focal on raw features (1 change) [MISSING CELL IN R01],3333,0.9900138456537428,0.9861666362305245,-0.0038472094232184072,-,0.1160131254246709,-0.20539566470328097,-0.007489111931545889,-0.0008403034873622812,25
focal on raw features (1 change) [MISSING CELL IN R01],5555,0.9877522244328967,0.9853583652403684,-0.0023938591925280585,-,0.21339415923856397,-0.12198751843679138,-0.005320635421796477,0.00019850670972323736,25
focal on raw features (1 change) [MISSING CELL IN R01],7777,0.9885345321758243,0.9874692497253414,-0.0010652824504829227,-,0.6946110303296316,-0.06846398179651979,-0.003993976305372168,0.0013657896603343402,25
focal on raw features (1 change) [MISSING CELL IN R01],9999,0.9822606495539271,0.9797833662291595,-0.0024772833247675495,-,0.04369398056408911,-0.06761256167281661,-0.004573377365315057,-0.00030665082905359157,25
"reweighting only, cross-entropy (1 change)",42,0.9924974364468053,0.9915302364625248,-0.0009671999842807822,-,0.05289719961641074,-0.06735069981825814,-0.002644540332855595,0.0008334077542539711,25
"reweighting only, cross-entropy (1 change)",123,0.9871383959774604,0.9864919649637847,-0.0006464310136758744,-,0.3924965759197767,-0.025053808355256443,-0.002701668386652929,0.0012210714892249821,25
"reweighting only, cross-entropy (1 change)",456,0.9854367886675067,0.9862200065626173,0.0007832178951104529,+,0.9499198498241285,0.044934885201203416,-0.001980812895920586,0.0038327565944427633,25
"reweighting only, cross-entropy (1 change)",789,0.9795954251701491,0.9789214989305348,-0.0006739262396141132,-,0.9107164915248785,-0.018616897858466087,-0.002895378743611425,0.001388611891346214,25
"reweighting only, cross-entropy (1 change)",1024,0.9874954765601176,0.9859355717331952,-0.0015599048269223292,-,0.12856270516412882,-0.06811839372615178,-0.0035201525306117394,0.00015703685506160468,25
"reweighting only, cross-entropy (1 change)",2048,0.9849253914783875,0.9840128921032282,-0.0009124993751594701,-,0.3927593002722902,-0.036691788940496795,-0.002388236427306112,0.0004525711937946997,25
"reweighting only, cross-entropy (1 change)",3333,0.9891976794807791,0.9891244657793428,-7.321370143619444e-05,-,0.5336947142111965,-0.004486495731489597,-0.0018863028324610186,0.0020942448707113406,25
"reweighting only, cross-entropy (1 change)",5555,0.9898171396763834,0.9890550464188982,-0.0007620932574849792,-,0.4800079423257866,-0.04863807466115024,-0.002582274311709818,0.0009352869352869234,25
"reweighting only, cross-entropy (1 change)",7777,0.9900863906114714,0.9915670679214142,0.0014806773099429015,+,0.2214816489446616,0.12816863325830719,-1.5360492022951704e-05,0.003339449521168512,25
"reweighting only, cross-entropy (1 change)",9999,0.9823657782198887,0.9840699375236519,0.0017041593037632153,+,0.4595645403851465,0.051577608596320206,-1.6079833027082624e-06,0.003919683327876622,25
reweighting on top of focal (1 change),42,0.9890626681478628,0.9890626681478628,0.0,-,1.0,0.0,0.0,0.0,25
reweighting on top of focal (1 change),123,0.9832732890113647,0.9832732890113647,0.0,-,1.0,0.0,0.0,0.0,25
reweighting on top of focal (1 change),456,0.984110965591374,0.984110965591374,0.0,-,1.0,0.0,0.0,0.0,25
reweighting on top of focal (1 change),789,0.9775970761682852,0.9775970761682852,0.0,-,1.0,0.0,0.0,0.0,25
reweighting on top of focal (1 change),1024,0.9836116125118031,0.9836116125118031,0.0,-,1.0,0.0,0.0,0.0,25
reweighting on top of focal (1 change),2048,0.983517120269687,0.983517120269687,0.0,-,1.0,0.0,0.0,0.0,25
reweighting on top of focal (1 change),3333,0.9884232851607312,0.9884232851607312,0.0,-,1.0,0.0,0.0,0.0,25
reweighting on top of focal (1 change),5555,0.9868780796361086,0.9868780796361086,0.0,-,1.0,0.0,0.0,0.0,25
reweighting on top of focal (1 change),7777,0.9891914661885062,0.9891914661885062,0.0,-,1.0,0.0,0.0,0.0,25
reweighting on top of focal (1 change),9999,0.9806946182403646,0.9806946182403646,0.0,-,1.0,0.0,0.0,0.0,25
R01 'isolated loss effect' (2 changes),42,0.9915302364625248,0.9890626681478628,-0.00246756831466199,-,0.21515119647502945,-0.14496792111597193,-0.00576708947380939,0.0003658238570760821,25
R01 'isolated loss effect' (2 changes),123,0.9864919649637847,0.9832732890113647,-0.0032186759524201135,-,0.04043304422346432,-0.12108514930629172,-0.006588243827225813,-0.0002075057232393199,25
R01 'isolated loss effect' (2 changes),456,0.9862200065626173,0.984110965591374,-0.0021090409712431323,-,0.80710061504615,-0.11613938628591344,-0.005613524324482823,0.0010624624966216625,25
R01 'isolated loss effect' (2 changes),789,0.9789214989305348,0.9775970761682852,-0.0013244227622497017,-,0.12085155674339498,-0.036661778422358265,-0.003725691780789227,0.001152234813549433,25
R01 'isolated loss effect' (2 changes),1024,0.9859355717331952,0.9836116125118031,-0.002323959221392262,-,0.07439153694932256,-0.09187176965122391,-0.004350885091657326,-0.0006408226752238933,25
R01 'isolated loss effect' (2 changes),2048,0.9840128921032282,0.983517120269687,-0.0004957718335412098,-,0.5012182358980504,-0.02071777311689814,-0.003139367582172858,0.0020826911823839454,25
R01 'isolated loss effect' (2 changes),3333,0.9891244657793428,0.9884232851607312,-0.0007011806186116809,-,0.7308092829832394,-0.043063163971418426,-0.003013636578638142,0.001347799070575153,25
R01 'isolated loss effect' (2 changes),5555,0.9890550464188982,0.9868780796361086,-0.002176966782789629,-,0.13049673824162586,-0.1272668434099099,-0.004972738640277404,0.0006362818346155273,25
R01 'isolated loss effect' (2 changes),7777,0.9915670679214142,0.9891914661885062,-0.0023756017329080326,-,0.1973240454202555,-0.1919654450974246,-0.005594958853986904,0.0006626896483044463,25
R01 'isolated loss effect' (2 changes),9999,0.9840699375236519,0.9806946182403646,-0.003375319283287279,-,0.005725219214348057,-0.10348395962716193,-0.006589714020927478,-0.0008723681197283323,25
