gamma,alpha,diff_mean,between_seed_sd,ci95_lo,ci95_hi,n_seeds_favouring_focal,is_reported_setting
0.0,0.5,-0.0012736887794558465,0.0010704645319251117,-0.0021818959250666167,-0.00045538842100661904,0,False
0.0,0.75,-0.0010056758990713295,0.00044748900582461577,-0.0017753181702656476,-0.0002688444203425915,0,False
0.0,0.9,-0.0008553867920837642,0.0014304715208996318,-0.0020420569169281953,0.0002609756489089496,1,False
1.0,0.5,-0.0021811009880113703,0.0007884485875080531,-0.0032457522144044753,-0.001170820499932556,0,False
1.0,0.75,-0.0018001570139065362,0.001164066672469862,-0.0027313906226461497,-0.0009056062203735471,0,False
1.0,0.9,-0.001716542196900309,0.0010514365327062342,-0.002738937784314172,-0.0007473500168799739,0,False
2.0,0.5,-0.0027745419352484834,0.001324045901898995,-0.0040680195895077135,-0.0015456047007904382,0,False
2.0,0.75,-0.002901582278269969,0.0011700846173654349,-0.0043150633377807696,-0.0016395107780627935,0,True
2.0,0.9,-0.0018597717653784942,0.0016025877391012493,-0.003142825852218311,-0.0006786247000961059,1,False
5.0,0.5,-0.004152509110678139,0.0017895672625137323,-0.006065423693119891,-0.002461764396889449,0,False
5.0,0.75,-0.004375509165215107,0.0013259080510980657,-0.005989634024928602,-0.0028138856372985034,0,False
5.0,0.9,-0.004045854331121685,0.0022135444422492364,-0.005774745111498168,-0.0024846959354396605,0,False
