feature,mean_abs_shap,mean_signed_shap,sd_shap,mean_abs_shap_positives,mean_signed_shap_positives,se_signed_positives,direction,family,is_composite,model_arm,model_label,n_features_in_model,n_positive_instances_explained,rank
average_exam_score,1.3857911941821737,0.051012880515350856,2.315133649806416,6.984051454349752,6.984051454349752,0.33422245381197563,raises dropout risk,academic_performance,False,E_all_ce_noW,"Composites, cross-entropy   [matched reference]",15,14,1
attendance_risk_index,1.2308874080848766,0.28562415977115857,1.6880895627514305,3.701620284905491,3.701620284905491,0.12385590385551817,raises dropout risk,attendance_trajectory,True,E_all_ce_noW,"Composites, cross-entropy   [matched reference]",15,14,2
science_exam_score,1.146379563671252,-0.1734458033579545,1.5750174038052556,3.6936107839305103,3.4376543653116505,0.5557679817777734,lowers dropout risk,academic_performance,False,E_all_ce_noW,"Composites, cross-entropy   [matched reference]",15,14,3
term_2_attendance,0.9447619130646815,0.1661469355868834,1.3807546162490658,3.6093823403215994,3.6093823403215994,0.12260373594766145,raises dropout risk,attendance_trajectory,False,E_all_ce_noW,"Composites, cross-entropy   [matched reference]",15,14,4
term_1_attendance,0.8995840791291588,-0.04411599476216952,1.6526412919565112,4.487121618292419,4.3207716328984604,0.818549073802729,lowers dropout risk,attendance_trajectory,False,E_all_ce_noW,"Composites, cross-entropy   [matched reference]",15,14,5
age_at_start_of_academic_year,0.5136504510309091,0.020422939043783412,0.8014070335879867,0.5219069495402231,0.39006681534761484,0.16590259222601997,raises dropout risk,demographic,False,E_all_ce_noW,"Composites, cross-entropy   [matched reference]",15,14,6
social_studies_exam_score,0.3349966222663929,-0.0046053102119960245,0.3884473531383425,0.41577125938987614,0.3805945055859123,0.09162358002095938,lowers dropout risk,academic_performance,False,E_all_ce_noW,"Composites, cross-entropy   [matched reference]",15,14,7
class_level,0.2926757769716685,-0.04236581519733812,0.42489027076450997,0.23772496252400427,0.1607674375444538,0.0882335660064829,lowers dropout risk,academic_performance,False,E_all_ce_noW,"Composites, cross-entropy   [matched reference]",15,14,8
school_type,0.2722468776276148,0.03493305873971603,0.5297556760111336,0.6999297044822085,0.5004425080861298,0.3366838801618058,raises dropout risk,school_administrative,False,E_all_ce_noW,"Composites, cross-entropy   [matched reference]",15,14,9
math_exam_score,0.26616860313986934,-0.0036315158709353907,0.3536228235616928,0.6589709758138514,0.5817699402653094,0.10855628290024204,lowers dropout risk,academic_performance,False,E_all_ce_noW,"Composites, cross-entropy   [matched reference]",15,14,10
english_exam_score,0.09224631718714715,0.0015218701177287495,0.16503132849006033,0.164601988796712,0.1244728735821866,0.03601098348406942,raises dropout risk,academic_performance,False,E_all_ce_noW,"Composites, cross-entropy   [matched reference]",15,14,11
geographic_zone,0.05114442422034942,0.011068237026600087,0.0762962293324412,0.09294872225728454,0.04328433172717906,0.03353928911428415,raises dropout risk,school_administrative,False,E_all_ce_noW,"Composites, cross-entropy   [matched reference]",15,14,12
grade_repetition_count,0.0325249949652623,0.008054253614121532,0.08736373078335687,0.1420100942125835,0.13864817335415622,0.05682747640574254,raises dropout risk,academic_performance,False,E_all_ce_noW,"Composites, cross-entropy   [matched reference]",15,14,13
grade_repetition_count_missing,0.032424314346469356,-0.005191200660704446,0.04850592498731013,0.012058180282140016,-0.012058180282140016,0.002328994402284324,lowers dropout risk,academic_performance,False,E_all_ce_noW,"Composites, cross-entropy   [matched reference]",15,14,14
gender,0.013327374787191554,0.003567896105871713,0.021507293336048717,0.01090950064005937,0.004966262635504574,0.0040972887530062955,raises dropout risk,demographic,False,E_all_ce_noW,"Composites, cross-entropy   [matched reference]",15,14,15
