feature,mean_abs_shap,mean_signed_shap,sd_shap,mean_abs_shap_positives,mean_signed_shap_positives,se_signed_positives,direction,family,is_composite,model_arm,model_label,n_features_in_model,n_positive_instances_explained,rank
attendance_risk_index,0.46063966350973384,0.10855206569593473,0.6413243520757367,1.4542495494514311,1.4542495494514311,0.06633070437843379,raises dropout risk,attendance_trajectory,True,G_all_focal_noW,"E-LightGBM (composites, focal loss)",15,14,1
average_exam_score,0.4403053900343274,-0.0005132830899376139,0.7252250147567637,2.1366528225272914,2.1366528225272914,0.10100491045822758,lowers dropout risk,academic_performance,False,G_all_focal_noW,"E-LightGBM (composites, focal loss)",15,14,2
science_exam_score,0.362103729230646,-0.03404996113873817,0.5199981830593585,1.312790077897469,1.2297749297406928,0.1873939511550871,lowers dropout risk,academic_performance,False,G_all_focal_noW,"E-LightGBM (composites, focal loss)",15,14,3
term_2_attendance,0.32701814577402544,0.04042615722985145,0.4581745880521302,1.1500994517289125,1.1500994517289125,0.03944929115535243,raises dropout risk,attendance_trajectory,False,G_all_focal_noW,"E-LightGBM (composites, focal loss)",15,14,4
term_1_attendance,0.277487445168749,-0.02050393038881238,0.49075644893754733,1.3085588538447115,1.2492865449895896,0.23938838001470406,lowers dropout risk,attendance_trajectory,False,G_all_focal_noW,"E-LightGBM (composites, focal loss)",15,14,5
age_at_start_of_academic_year,0.22276277159440117,0.001990206760306551,0.3659026742414103,0.2679213407393927,0.21960120278948073,0.08642998338968837,raises dropout risk,demographic,False,G_all_focal_noW,"E-LightGBM (composites, focal loss)",15,14,6
social_studies_exam_score,0.17630503603858702,-0.006016201602565994,0.20704368327823733,0.33328440791146924,0.3214190961177885,0.05032524950106216,lowers dropout risk,academic_performance,False,G_all_focal_noW,"E-LightGBM (composites, focal loss)",15,14,7
math_exam_score,0.14387237534594755,-0.013103321031447585,0.19419916893878061,0.374930975646281,0.30004927963145217,0.06578401003627753,lowers dropout risk,academic_performance,False,G_all_focal_noW,"E-LightGBM (composites, focal loss)",15,14,8
geographic_zone,0.13468848878283393,0.007902682034171578,0.14005474896933792,0.15192938564957362,0.006525324613592165,0.04512576862648275,raises dropout risk,school_administrative,False,G_all_focal_noW,"E-LightGBM (composites, focal loss)",15,14,9
english_exam_score,0.11596968698120935,0.013963928091799548,0.12312166253203755,0.11515025784288886,-0.11515025784288886,0.013130156309860579,raises dropout risk,academic_performance,False,G_all_focal_noW,"E-LightGBM (composites, focal loss)",15,14,10
class_level,0.09949826124199299,-0.014556038162381171,0.15012903217043985,0.08375727204901243,0.04882739340019864,0.0323890702714118,lowers dropout risk,academic_performance,False,G_all_focal_noW,"E-LightGBM (composites, focal loss)",15,14,11
school_type,0.0916964013999917,0.015232372165356176,0.18001087416256004,0.24054116110578025,0.16254488427662597,0.11397786407421814,raises dropout risk,school_administrative,False,G_all_focal_noW,"E-LightGBM (composites, focal loss)",15,14,12
grade_repetition_count,0.022733956033565424,0.011390101051534986,0.045750033706551514,0.08244999528999106,0.08244999528999106,0.02137501271656532,raises dropout risk,academic_performance,False,G_all_focal_noW,"E-LightGBM (composites, focal loss)",15,14,13
gender,0.004109463696550326,0.0008450312036969766,0.007562883155251504,0.011457831774958429,0.0014185463971361952,0.003402326519825054,raises dropout risk,demographic,False,G_all_focal_noW,"E-LightGBM (composites, focal loss)",15,14,14
grade_repetition_count_missing,0.0009264704428679482,-0.000518036020439286,0.0019271214225981752,0.001141903397450789,-0.001141903397450789,0.0006878948161721893,lowers dropout risk,academic_performance,False,G_all_focal_noW,"E-LightGBM (composites, focal loss)",15,14,15
