feature,mean_abs_shap,mean_signed_shap,sd_shap,mean_abs_shap_positives,mean_signed_shap_positives,se_signed_positives,direction,family,is_composite,model_arm,model_label,n_features_in_model,n_positive_instances_explained,rank
term_2_attendance,1.8515201841801563,0.47070272349267395,2.5684248963193452,6.986049451917852,6.986049451917852,0.29470389677294273,raises dropout risk,attendance_trajectory,False,LEGACY_A,R01 baseline as published (is_unbalance=True),14,14,1
average_exam_score,1.7594899571520537,-0.2248133404866406,2.6750373042751554,7.7764288934676316,7.7764288934676316,0.6136410490956012,lowers dropout risk,academic_performance,False,LEGACY_A,R01 baseline as published (is_unbalance=True),14,14,2
term_1_attendance,1.2828905956033627,0.17456408404920723,1.918222722201106,5.150569116591528,5.021004947480429,0.6912989860279799,raises dropout risk,attendance_trajectory,False,LEGACY_A,R01 baseline as published (is_unbalance=True),14,14,3
science_exam_score,1.0614317234977715,-0.14932233402669456,1.4817191104810308,3.494732286260008,3.3835851385523377,0.505494705464859,lowers dropout risk,academic_performance,False,LEGACY_A,R01 baseline as published (is_unbalance=True),14,14,4
age_at_start_of_academic_year,0.5645823979915897,0.04014280460357914,0.9039058084898229,0.5784827069093437,0.4311952248617992,0.18284202504037936,raises dropout risk,demographic,False,LEGACY_A,R01 baseline as published (is_unbalance=True),14,14,5
social_studies_exam_score,0.4479533005598185,0.012995710269162552,0.5400045611921922,0.5190785164369621,0.4847143090941279,0.1381808148340885,raises dropout risk,academic_performance,False,LEGACY_A,R01 baseline as published (is_unbalance=True),14,14,6
school_type,0.3254965310182642,0.0406790950715326,0.6070393127778485,0.7086700592047596,0.5180263595693527,0.34114318491636353,raises dropout risk,school_administrative,False,LEGACY_A,R01 baseline as published (is_unbalance=True),14,14,7
class_level,0.3041237742362525,-0.052757461915062906,0.45561650904926787,0.2565693055120271,0.16756217938159476,0.09510258862691848,lowers dropout risk,academic_performance,False,LEGACY_A,R01 baseline as published (is_unbalance=True),14,14,8
math_exam_score,0.19930312016206025,0.020904982736981645,0.31999166880221996,0.4897153483693441,0.43688246253364715,0.08747189758724853,raises dropout risk,academic_performance,False,LEGACY_A,R01 baseline as published (is_unbalance=True),14,14,9
english_exam_score,0.10063704080397429,-0.0126035289895472,0.16240709016888544,0.13092793432426994,0.08121578233909237,0.0329511476929511,lowers dropout risk,academic_performance,False,LEGACY_A,R01 baseline as published (is_unbalance=True),14,14,10
grade_repetition_count,0.03451299158855654,0.002755093430955268,0.07376225273005306,0.11817914748024047,0.10536345371411203,0.03273593439181808,raises dropout risk,academic_performance,False,LEGACY_A,R01 baseline as published (is_unbalance=True),14,14,11
geographic_zone,0.01280692148975487,0.00011309428579986785,0.018990529512447923,0.010380832599874565,0.0018581297641220578,0.0034441960313654953,raises dropout risk,school_administrative,False,LEGACY_A,R01 baseline as published (is_unbalance=True),14,14,12
gender,0.009888087103450861,0.0012540307620856701,0.01308974362296896,0.015985407016168674,0.0010412846862064506,0.0050556337648998695,raises dropout risk,demographic,False,LEGACY_A,R01 baseline as published (is_unbalance=True),14,14,13
grade_repetition_count_missing,0.009230108428734786,-0.0031096159759276907,0.01230387238564293,0.002925998092506799,-0.002925998092506799,0.00040258605387109755,lowers dropout risk,academic_performance,False,LEGACY_A,R01 baseline as published (is_unbalance=True),14,14,14
