rank,feature,family,mean_abs_shap,mean_signed_shap,direction,se_signed_positives,expected_direction,matches_expectation,diagnosis
1,attendance_risk_index,attendance_trajectory,0.46063966350973384,0.10855206569593473,raises dropout risk,0.06633070437843379,,,
2,average_exam_score,academic_performance,0.4403053900343274,-0.0005132830899376139,lowers dropout risk,0.10100491045822758,,,
3,science_exam_score,academic_performance,0.362103729230646,-0.03404996113873817,lowers dropout risk,0.1873939511550871,,,
4,term_2_attendance,attendance_trajectory,0.32701814577402544,0.04042615722985145,raises dropout risk,0.03944929115535243,,,
5,term_1_attendance,attendance_trajectory,0.277487445168749,-0.02050393038881238,lowers dropout risk,0.23938838001470406,,,
6,age_at_start_of_academic_year,demographic,0.22276277159440117,0.001990206760306551,raises dropout risk,0.08642998338968837,,,
7,social_studies_exam_score,academic_performance,0.17630503603858702,-0.006016201602565994,lowers dropout risk,0.05032524950106216,,,
8,math_exam_score,academic_performance,0.14387237534594755,-0.013103321031447585,lowers dropout risk,0.06578401003627753,,,
9,geographic_zone,school_administrative,0.13468848878283393,0.007902682034171578,raises dropout risk,0.04512576862648275,,,
10,english_exam_score,academic_performance,0.11596968698120935,0.013963928091799548,raises dropout risk,0.013130156309860579,,,
11,class_level,academic_performance,0.09949826124199299,-0.014556038162381171,lowers dropout risk,0.0323890702714118,,,
12,school_type,school_administrative,0.0916964013999917,0.015232372165356176,raises dropout risk,0.11397786407421814,,,
13,grade_repetition_count,academic_performance,0.022733956033565424,0.011390101051534986,raises dropout risk,0.02137501271656532,,,
14,gender,demographic,0.004109463696550326,0.0008450312036969766,raises dropout risk,0.003402326519825054,,,
15,grade_repetition_count_missing,academic_performance,0.0009264704428679482,-0.000518036020439286,lowers dropout risk,0.0006878948161721893,,,
