feature,rank__G_all_focal_noW,mean_abs_shap__G_all_focal_noW,rank__LEGACY_A,mean_abs_shap__LEGACY_A,abs_shap_ratio
attendance_risk_index,1,0.46063966350973384,,,
average_exam_score,2,0.4403053900343274,2.0,1.7594899571520537,0.25024603763411907
science_exam_score,3,0.362103729230646,4.0,1.0614317234977715,0.3411465110891857
term_2_attendance,4,0.32701814577402544,1.0,1.8515201841801563,0.17662143171224862
term_1_attendance,5,0.277487445168749,3.0,1.2828905956033627,0.2162986041987801
age_at_start_of_academic_year,6,0.22276277159440117,5.0,0.5645823979915897,0.3945620203301477
social_studies_exam_score,7,0.17630503603858702,6.0,0.4479533005598185,0.39357905348225847
math_exam_score,8,0.14387237534594755,9.0,0.19930312016206025,0.7218771850082425
geographic_zone,9,0.13468848878283393,12.0,0.01280692148975487,10.516851289404753
english_exam_score,10,0.11596968698120935,10.0,0.10063704080397429,1.1523558925694242
class_level,11,0.09949826124199299,8.0,0.3041237742362525,0.3271637065923684
school_type,12,0.0916964013999917,7.0,0.3254965310182642,0.2817123768205273
grade_repetition_count,13,0.022733956033565424,11.0,0.03451299158855654,0.6587071994391618
gender,14,0.004109463696550326,13.0,0.009888087103450861,0.4155974409970718
grade_repetition_count_missing,15,0.0009264704428679482,14.0,0.009230108428734786,0.10037481683137105
