rank,feature,family,mean_abs_shap,value_shap_corr,direction,expected_direction,matches_expectation,diagnosis
1,attendance_risk_index,attendance_trajectory,0.46063966350973384,0.13578626452739143,no consistent direction,,,
2,average_exam_score,academic_performance,0.4403053900343274,0.2093831192342365,higher value -> MORE dropout risk,,,
3,science_exam_score,academic_performance,0.362103729230646,-0.821173588140193,higher value -> LESS dropout risk,,,
4,term_2_attendance,attendance_trajectory,0.32701814577402544,-0.40264131737087777,higher value -> LESS dropout risk,,,
5,term_1_attendance,attendance_trajectory,0.277487445168749,-0.22114654114667548,higher value -> LESS dropout risk,,,
6,age_at_start_of_academic_year,demographic,0.22276277159440117,-0.031197675343648514,no consistent direction,,,
7,social_studies_exam_score,academic_performance,0.17630503603858702,-0.19063050903915296,no consistent direction,,,
8,math_exam_score,academic_performance,0.14387237534594755,-0.08695268049827387,no consistent direction,,,
9,geographic_zone,school_administrative,0.13468848878283393,-0.8630702945091309,categorical - see beeswarm,,,
10,english_exam_score,academic_performance,0.11596968698120935,0.5588684045177449,higher value -> MORE dropout risk,,,
11,class_level,academic_performance,0.09949826124199299,-0.7574635921636298,higher value -> LESS dropout risk,,,
12,school_type,school_administrative,0.0916964013999917,-0.5518411864565075,categorical - see beeswarm,,,
13,grade_repetition_count,academic_performance,0.022733956033565424,0.6555436428884807,higher value -> MORE dropout risk,,,
14,gender,demographic,0.004109463696550326,-0.2465139819548768,categorical - see beeswarm,,,
15,grade_repetition_count_missing,academic_performance,0.0009264704428679482,0.5518411864565075,higher value -> MORE dropout risk,,,
