rank,feature,family,mean_abs_shap,value_shap_corr,direction,expected_direction,matches_expectation,diagnosis
1,average_exam_score,academic_performance,0.5472706187311641,0.13182377832052428,no consistent direction,,,
2,attendance_risk_index,attendance_trajectory,0.308369540129843,0.31916060072654406,higher value -> MORE dropout risk,,,
3,family_income_level,household_economic,0.2679133582183001,-0.37288686752797445,higher value -> LESS dropout risk,,,
4,term_2_attendance,attendance_trajectory,0.23612153777225103,-0.39870770053778426,higher value -> LESS dropout risk,,,
5,term_1_attendance,attendance_trajectory,0.1866852532378667,-0.4306555868410336,higher value -> LESS dropout risk,,,
6,parent_attends_school_events,behavioural_engagement,0.1812165084373458,-0.23908799745435882,higher value -> LESS dropout risk,,,
7,behavioral_engagement_index,behavioural_engagement,0.17124615962814538,-0.7950575155193322,higher value -> LESS dropout risk,,,
8,science_exam_score,academic_performance,0.15696223600629106,-0.49413738377889665,higher value -> LESS dropout risk,,,
9,parent_guardian_education_level,household_economic,0.13689834323156028,-0.6358450959999765,higher value -> LESS dropout risk,,,
10,school_enjoyment,behavioural_engagement,0.11297656236241306,0.8685427209389324,higher value -> MORE dropout risk,,,
11,safety_at_home,safety_wellbeing,0.09096347975606553,-0.8014717510279734,higher value -> LESS dropout risk,,,
12,daily_study_hours_at_home,behavioural_engagement,0.08769042816129786,0.8032462766548509,higher value -> MORE dropout risk,,,
13,english_exam_score,academic_performance,0.07408857040374259,0.763457306951594,higher value -> MORE dropout risk,,,
14,class_participation,behavioural_engagement,0.06931885011227698,-0.2512141712420928,higher value -> LESS dropout risk,,,
15,age_at_start_of_academic_year,demographic,0.06684139342421365,0.6261700751782147,higher value -> MORE dropout risk,,,
