feature,rank__G_all_focal_noW,mean_abs_shap__G_all_focal_noW,rank__LEGACY_A,mean_abs_shap__LEGACY_A,abs_shap_ratio
average_exam_score,1,0.5472706187311641,1.0,1.689980129096496,0.32383257608108573
attendance_risk_index,2,0.308369540129843,,,
family_income_level,3,0.2679133582183001,5.0,0.7333981600503724,0.36530410466246444
term_2_attendance,4,0.23612153777225103,2.0,1.2344131684840032,0.19128241969602008
term_1_attendance,5,0.1866852532378667,4.0,0.9815168999544241,0.19020075278024787
parent_attends_school_events,6,0.1812165084373458,6.0,0.4933171471092132,0.3673428128319795
behavioral_engagement_index,7,0.17124615962814538,,,
science_exam_score,8,0.15696223600629106,3.0,1.0182742250934826,0.15414534919793452
parent_guardian_education_level,9,0.13689834323156028,7.0,0.2778391456654406,0.49272518062089826
school_enjoyment,10,0.11297656236241306,26.0,0.01704419029431903,6.628449953417211
safety_at_home,11,0.09096347975606553,9.0,0.18071172188542348,0.5033623652467826
daily_study_hours_at_home,12,0.08769042816129786,14.0,0.10220032070212491,0.8580249803411296
english_exam_score,13,0.07408857040374259,17.0,0.06165466140475927,1.201670217882723
class_participation,14,0.06931885011227698,13.0,0.15273298718259146,0.45385644182685086
age_at_start_of_academic_year,15,0.06684139342421365,12.0,0.15988393345259552,0.41806197771605147
behaviour_warnings_punishments,16,0.06480025172042746,11.0,0.16425514604049454,0.3945097202887754
math_exam_score,17,0.05662397130584477,10.0,0.17547467013183116,0.32269028494713303
school_type,18,0.044868513373822486,8.0,0.2255961997796599,0.1988886045848539
parent_guardian_occupation,19,0.03903258928136711,33.0,0.0005028801061766606,77.61808192836934
social_studies_exam_score,20,0.03443485619845295,15.0,0.09461168533263616,0.3639598647607506
travel_time_to_school,21,0.03146810200347415,30.0,0.004543020306937518,6.9266919092173325
safety_at_school,22,0.03094441250528682,20.0,0.03419803344521949,0.9048594140612056
missed_school_due_to_illness,23,0.02961384626554164,27.0,0.016886482604750015,1.7537012863301402
socioeconomic_vulnerability_score,24,0.01630333512537905,,,
grade_repetition_count,25,0.013444572135491727,24.0,0.022457585686918257,0.5986650712557811
teacher_support_rating,26,0.009341750158934485,23.0,0.02412795314005416,0.3871754103926246
no_of_siblings_in_school,27,0.009057613100464202,21.0,0.028736145991922507,0.31519929996911283
govt_support,28,0.0029241755749092307,38.0,2.918973410389122e-05,100.17821897594521
gender,29,0.0007481407663695759,32.0,0.0009158609253808255,0.8168715856705977
extracurricular_activities_missing,30,0.0003145994279338984,19.0,0.037611724618504525,0.008364397834049842
grade_repetition_count_missing,31,0.00020310047772083934,39.0,2.4360592052917773e-05,8.33725540330261
geographic_zone,32,0.00019533316666123292,34.0,0.00017792365473469655,1.0978482144630843
school_feeding_status,33,0.0001625728753490505,31.0,0.002148037909543179,0.07568436042342694
leap_beneficiary_status_missing,34,0.0001619430396535054,44.0,0.0,inf
extracurricular_activities,35,0.000107547741882497,35.0,0.00014206574448898788,0.7570279680675132
barriers_to_regular_attendance,36,9.152761714861567e-05,16.0,0.09107592848571365,0.0010049594735997982
own_textbooks,37,7.146596877567111e-05,18.0,0.050230993645550885,0.0014227464676482878
leap_beneficiary_status,38,6.269054882951905e-05,40.0,1.1360536153310787e-06,55.18273784221814
class_level,39,4.471314001449465e-05,22.0,0.02426819920276708,0.0018424580926217392
mode_of_transport_to_school,40,2.7640586947660644e-05,29.0,0.0073773038065828075,0.0037467057982615275
govt_support_missing,41,1.6572644875020605e-05,28.0,0.010775658394529767,0.001537970513563576
missed_school_for_choreswork,42,3.9674391887196025e-06,37.0,3.106412959920992e-05,0.12771770012253975
no_of_siblings_in_school_missing,43,1.3020792937804582e-09,25.0,0.017525529705467946,7.429614486198445e-08
family_income_level_missing,45,0.0,42.0,0.0,
daily_study_hours_at_home_missing,47,0.0,43.0,0.0,
home_has_electricity,44,0.0,36.0,4.537270668242051e-05,0.0
parent_guardian_education_level_missing,46,0.0,41.0,1.9657728664592518e-07,0.0
