feature,mean_abs_shap,mean_signed_shap,sd_shap,mean_abs_shap_positives,mean_signed_shap_positives,se_signed_positives,value_shap_corr,direction,family,is_composite,model_arm,model_label,n_features_in_model,n_positive_instances_explained,rank
average_exam_score,1.5763698221778848,-0.14240392192380938,2.505347787253213,7.272768899886911,7.272768899886911,0.6843379030916158,0.07139240952921207,no consistent direction,academic_performance,False,E_all_ce_noW,"Composites, cross-entropy   [matched reference]",47,14,1
term_2_attendance,0.7906078505597022,0.18075708074249341,1.1931180062440399,3.2998280623498437,3.2998280623498437,0.08002618574989799,-0.3390720527076638,higher value -> LESS dropout risk,attendance_trajectory,False,E_all_ce_noW,"Composites, cross-entropy   [matched reference]",47,14,2
attendance_risk_index,0.7902478034823514,0.17659173265025863,1.1230512484256197,3.0082706067820104,3.0082706067820104,0.11917673251489966,0.3319902109404648,higher value -> MORE dropout risk,attendance_trajectory,True,E_all_ce_noW,"Composites, cross-entropy   [matched reference]",47,14,3
family_income_level,0.6109574329597564,0.021574056301418097,0.8952384793623627,1.7543722270745596,1.6561055057622907,0.23917601270803235,-0.3512805606543382,higher value -> LESS dropout risk,household_economic,False,E_all_ce_noW,"Composites, cross-entropy   [matched reference]",47,14,4
science_exam_score,0.6015956430450896,-0.06622338104189829,0.8182919029485967,1.6804444604107227,1.5773190859490351,0.29797811038635386,-0.45222510370667673,higher value -> LESS dropout risk,academic_performance,False,E_all_ce_noW,"Composites, cross-entropy   [matched reference]",47,14,5
term_1_attendance,0.574567391391672,0.005136006252444732,0.9093100470373503,2.4703142364958444,2.4100478799470504,0.33666116977440685,-0.3790200120181153,higher value -> LESS dropout risk,attendance_trajectory,False,E_all_ce_noW,"Composites, cross-entropy   [matched reference]",47,14,6
parent_attends_school_events,0.47488010638815864,-0.02526500997205865,0.7745417469197724,1.077702010509402,0.8284309428090618,0.3349305025938264,-0.24174331234821286,higher value -> LESS dropout risk,behavioural_engagement,False,E_all_ce_noW,"Composites, cross-entropy   [matched reference]",47,14,7
behavioral_engagement_index,0.40123319227688153,-0.0687084611344849,0.44593565376222666,0.7937309707601269,0.5832817036774636,0.16003756367901986,-0.8087551024362643,higher value -> LESS dropout risk,behavioural_engagement,True,E_all_ce_noW,"Composites, cross-entropy   [matched reference]",47,14,8
parent_guardian_education_level,0.3260715706166252,0.023904129517605323,0.422897925902468,0.5542938767858977,0.3252502242292826,0.15818859013897416,-0.6148658779007131,higher value -> LESS dropout risk,household_economic,False,E_all_ce_noW,"Composites, cross-entropy   [matched reference]",47,14,9
safety_at_home,0.23148168464675056,-0.006844595613670699,0.24633929712482666,0.29452328987878745,0.29452328987878745,0.03216219160365484,-0.792037561086672,higher value -> LESS dropout risk,safety_wellbeing,False,E_all_ce_noW,"Composites, cross-entropy   [matched reference]",47,14,10
school_type,0.19812916936014258,0.024582191019937208,0.3590961206629051,0.3586126232545755,0.24953209383849712,0.17738764962597428,-0.5518411864565075,categorical - see beeswarm,school_administrative,False,E_all_ce_noW,"Composites, cross-entropy   [matched reference]",47,14,11
behaviour_warnings_punishments,0.14664537443814832,0.005024162912097524,0.18872166764679935,0.29810798636262936,0.20642208715458213,0.0759289410902754,0.8529289645424936,higher value -> MORE dropout risk,behavioural_engagement,False,E_all_ce_noW,"Composites, cross-entropy   [matched reference]",47,14,12
class_participation,0.14105418503362632,0.07208106284417282,0.417766897800921,0.7316210436262979,0.6899036582420276,0.26373348903000987,0.31983246244534974,higher value -> MORE dropout risk,behavioural_engagement,False,E_all_ce_noW,"Composites, cross-entropy   [matched reference]",47,14,13
math_exam_score,0.11286245226520442,0.007448002342177664,0.17562656173878563,0.36948879413702274,0.34378450245052966,0.055837608297527756,-0.4495596496159777,higher value -> LESS dropout risk,academic_performance,False,E_all_ce_noW,"Composites, cross-entropy   [matched reference]",47,14,14
social_studies_exam_score,0.0885799766872414,-0.0024865139247748076,0.12129774078973532,0.21081989000559845,0.18477256313555718,0.040952373843273965,-0.19435169915729528,no consistent direction,academic_performance,False,E_all_ce_noW,"Composites, cross-entropy   [matched reference]",47,14,15
school_enjoyment,0.0779682485445594,0.0032582758739625986,0.08200783979375971,0.10316586872767723,-0.029086845359668007,0.029678255623807725,0.7985179872233001,higher value -> MORE dropout risk,behavioural_engagement,False,E_all_ce_noW,"Composites, cross-entropy   [matched reference]",47,14,16
age_at_start_of_academic_year,0.06825022220422748,0.002439355948658838,0.10231224839154933,0.08907558405636132,0.0670488269919429,0.028341663305540336,0.2403259218198046,higher value -> MORE dropout risk,demographic,False,E_all_ce_noW,"Composites, cross-entropy   [matched reference]",47,14,17
daily_study_hours_at_home,0.06667107117764769,-0.0036823333693948358,0.06968796364819056,0.040183109998423464,-0.0076251148071542485,0.012973967584402295,0.6706220211605753,higher value -> MORE dropout risk,behavioural_engagement,False,E_all_ce_noW,"Composites, cross-entropy   [matched reference]",47,14,18
english_exam_score,0.06276818381738773,0.0054588757071549485,0.07626282552997521,0.12035961384345763,0.11238652117016554,0.020835711810899896,0.1737256492382343,no consistent direction,academic_performance,False,E_all_ce_noW,"Composites, cross-entropy   [matched reference]",47,14,19
safety_at_school,0.04517139144320022,-0.0006336005062851702,0.05067984996487902,0.035808866544576205,-0.013055972428901358,0.011308159436877642,0.5347447309982936,higher value -> MORE dropout risk,safety_wellbeing,False,E_all_ce_noW,"Composites, cross-entropy   [matched reference]",47,14,20
socioeconomic_vulnerability_score,0.04101957829364786,-0.000552509022646245,0.11342407998929731,0.08080156536641767,0.06688247101882532,0.03335849389672528,0.863935193111989,higher value -> MORE dropout risk,household_economic,True,E_all_ce_noW,"Composites, cross-entropy   [matched reference]",47,14,21
teacher_support_rating,0.03512048518289845,0.004932060418855392,0.0598365627184302,0.06969506935579986,0.002338964979825449,0.023151262440795795,0.47621845536546703,higher value -> MORE dropout risk,behavioural_engagement,False,E_all_ce_noW,"Composites, cross-entropy   [matched reference]",47,14,22
grade_repetition_count,0.032223434607668765,-0.012934347908488386,0.04965444543243154,0.12102686909782513,0.05937920467047649,0.03159090252948365,0.6556924169660115,higher value -> MORE dropout risk,academic_performance,False,E_all_ce_noW,"Composites, cross-entropy   [matched reference]",47,14,23
