feature,mean_abs_shap,mean_signed_shap,sd_shap,mean_abs_shap_positives,mean_signed_shap_positives,se_signed_positives,value_shap_corr,direction,family,is_composite,model_arm,model_label,n_features_in_model,n_positive_instances_explained,rank
average_exam_score,0.5472706187311641,-0.008689567949071691,0.8593138414533724,2.5271616652151367,2.5271616652151367,0.13246634171403554,0.13182377832052428,no consistent direction,academic_performance,False,G_all_focal_noW,"E-LightGBM (composites, focal loss)",47,14,1
attendance_risk_index,0.308369540129843,0.05036384535406596,0.4369590069243293,1.17813613694169,1.17813613694169,0.060930488656303405,0.31916060072654406,higher value -> MORE dropout risk,attendance_trajectory,True,G_all_focal_noW,"E-LightGBM (composites, focal loss)",47,14,2
family_income_level,0.2679133582183001,0.020788348643173638,0.4023398395062595,0.8627599355972496,0.8261526046987588,0.11297339191221632,-0.37288686752797445,higher value -> LESS dropout risk,household_economic,False,G_all_focal_noW,"E-LightGBM (composites, focal loss)",47,14,3
term_2_attendance,0.23612153777225103,0.04615883221415676,0.35244528557672244,0.9431927751946,0.9431927751946,0.025185984475156086,-0.39870770053778426,higher value -> LESS dropout risk,attendance_trajectory,False,G_all_focal_noW,"E-LightGBM (composites, focal loss)",47,14,4
term_1_attendance,0.1866852532378667,0.0051937280136635814,0.28415063262934964,0.7451688796801735,0.724134715362653,0.09373957736461504,-0.4306555868410336,higher value -> LESS dropout risk,attendance_trajectory,False,G_all_focal_noW,"E-LightGBM (composites, focal loss)",47,14,5
parent_attends_school_events,0.1812165084373458,-0.010593482267190514,0.27850872291381806,0.43478353773431316,0.3303666854051122,0.12217379875917098,-0.23908799745435882,higher value -> LESS dropout risk,behavioural_engagement,False,G_all_focal_noW,"E-LightGBM (composites, focal loss)",47,14,6
behavioral_engagement_index,0.17124615962814538,-0.02762987926462608,0.2083996378497088,0.4270874596698148,0.32974237831272507,0.0845462212845004,-0.7950575155193322,higher value -> LESS dropout risk,behavioural_engagement,True,G_all_focal_noW,"E-LightGBM (composites, focal loss)",47,14,7
science_exam_score,0.15696223600629106,-0.01823930614134707,0.2070059490399892,0.4360294078787833,0.38686791064827997,0.07449476577026795,-0.49413738377889665,higher value -> LESS dropout risk,academic_performance,False,G_all_focal_noW,"E-LightGBM (composites, focal loss)",47,14,8
parent_guardian_education_level,0.13689834323156028,-0.002256077882281249,0.17298365394044493,0.2530838642306797,0.13928701487118572,0.07146053089807246,-0.6358450959999765,higher value -> LESS dropout risk,household_economic,False,G_all_focal_noW,"E-LightGBM (composites, focal loss)",47,14,9
school_enjoyment,0.11297656236241306,0.004428734017946006,0.11437553085203687,0.1250110248456679,-0.03370975617571052,0.03404936596491689,0.8685427209389324,higher value -> MORE dropout risk,behavioural_engagement,False,G_all_focal_noW,"E-LightGBM (composites, focal loss)",47,14,10
