feature,mean_abs_shap,mean_signed_shap,sd_shap,mean_abs_shap_positives,mean_signed_shap_positives,se_signed_positives,value_shap_corr,direction,family,is_composite,model_arm,model_label,n_features_in_model,n_positive_instances_explained,rank
average_exam_score,1.689980129096496,-0.20815326445017754,2.582194558398907,7.471712232800422,7.471712232800422,0.6472587039198836,-0.2361134697937038,higher value -> LESS dropout risk,academic_performance,False,LEGACY_A,R01 baseline as published (is_unbalance=True),44,14,1
term_2_attendance,1.2344131684840032,0.26041575615105544,1.857109011150515,5.220945285301077,5.220945285301077,0.1832053652861694,-0.3897696453020976,higher value -> LESS dropout risk,attendance_trajectory,False,LEGACY_A,R01 baseline as published (is_unbalance=True),44,14,2
science_exam_score,1.0182742250934826,-0.16479064447387115,1.3181956381073596,2.6968232969157375,2.56932006457414,0.4126201827051933,-0.5132389002478898,higher value -> LESS dropout risk,academic_performance,False,LEGACY_A,R01 baseline as published (is_unbalance=True),44,14,3
term_1_attendance,0.9815168999544241,0.20520130540134013,1.5771633058499892,4.195658348934926,4.0667571439197845,0.4596095837885126,-0.19695445470048953,no consistent direction,attendance_trajectory,False,LEGACY_A,R01 baseline as published (is_unbalance=True),44,14,4
family_income_level,0.7333981600503724,0.012435375167369145,1.0618062793474754,1.9580384343976918,1.8445847734565912,0.2594691683870977,-0.331811141273699,higher value -> LESS dropout risk,household_economic,False,LEGACY_A,R01 baseline as published (is_unbalance=True),44,14,5
parent_attends_school_events,0.4933171471092132,0.0019579271325611586,0.8560014246154298,1.0051221944659836,0.833653357807343,0.31331520480588004,-0.33643368851160327,higher value -> LESS dropout risk,behavioural_engagement,False,LEGACY_A,R01 baseline as published (is_unbalance=True),44,14,6
parent_guardian_education_level,0.2778391456654406,0.035580485611927164,0.3966982282716573,0.47343901859226545,0.31535372041710213,0.1467746657924159,-0.5301082874319702,higher value -> LESS dropout risk,household_economic,False,LEGACY_A,R01 baseline as published (is_unbalance=True),44,14,7
school_type,0.2255961997796599,0.030980102841287285,0.4019636791977543,0.3340986530144726,0.23087605551110113,0.15917737947571764,-0.5518407586426288,categorical - see beeswarm,school_administrative,False,LEGACY_A,R01 baseline as published (is_unbalance=True),44,14,8
safety_at_home,0.18071172188542348,-0.02676556209458496,0.19922105181212088,0.22425383112786154,0.22425383112786154,0.02700362270935737,-0.8064959169309913,higher value -> LESS dropout risk,safety_wellbeing,False,LEGACY_A,R01 baseline as published (is_unbalance=True),44,14,9
math_exam_score,0.17547467013183116,0.03494634377096297,0.28376937885747866,0.4751796620875569,0.4319501083151018,0.0901553396068752,-0.42235445062367716,higher value -> LESS dropout risk,academic_performance,False,LEGACY_A,R01 baseline as published (is_unbalance=True),44,14,10
behaviour_warnings_punishments,0.16425514604049454,0.009251295322670305,0.23946405659594638,0.3894978907838749,0.3101687802019066,0.1104913344917105,0.84065158048705,higher value -> MORE dropout risk,behavioural_engagement,False,LEGACY_A,R01 baseline as published (is_unbalance=True),44,14,11
age_at_start_of_academic_year,0.15988393345259552,0.006371962110692872,0.2767611498623161,0.23880609444197054,0.19461901069188287,0.08089936629568648,-0.02539458827347761,no consistent direction,demographic,False,LEGACY_A,R01 baseline as published (is_unbalance=True),44,14,12
class_participation,0.15273298718259146,0.06291997455548373,0.49275536031537437,0.877723087699145,0.8251177314136439,0.3187342677498183,-0.09437692189458706,no consistent direction,behavioural_engagement,False,LEGACY_A,R01 baseline as published (is_unbalance=True),44,14,13
daily_study_hours_at_home,0.10220032070212491,-0.00537420745869719,0.1083099475893923,0.06198623133857852,-0.015749409211439448,0.018685659441316116,0.7908830062752988,higher value -> MORE dropout risk,behavioural_engagement,False,LEGACY_A,R01 baseline as published (is_unbalance=True),44,14,14
social_studies_exam_score,0.09461168533263616,-0.005355841136281884,0.12849776932924906,0.20093926224338474,0.1915849561677916,0.04392225418435619,-0.15370455139703718,no consistent direction,academic_performance,False,LEGACY_A,R01 baseline as published (is_unbalance=True),44,14,15
barriers_to_regular_attendance,0.09107592848571365,0.013293563856261677,0.12393774457537715,0.05126495291517137,0.031045943646143975,0.016126499885579702,-0.14918560087065008,categorical - see beeswarm,attendance_trajectory,False,LEGACY_A,R01 baseline as published (is_unbalance=True),44,14,16
english_exam_score,0.06165466140475927,0.00596304663525085,0.09898734299836094,0.207709305479735,0.19082537102508443,0.03877969028380731,-0.04738994220699535,no consistent direction,academic_performance,False,LEGACY_A,R01 baseline as published (is_unbalance=True),44,14,17
own_textbooks,0.050230993645550885,0.00770047211744623,0.13144059441647007,0.16900658935244559,0.1515123399476568,0.05493330338721727,-0.274982290402209,higher value -> LESS dropout risk,household_economic,False,LEGACY_A,R01 baseline as published (is_unbalance=True),44,14,18
extracurricular_activities_missing,0.037611724618504525,-0.004736092485369013,0.060778190351302296,0.06794054811180304,0.03885953497658492,0.022158319181487324,0.7057289511983202,higher value -> MORE dropout risk,behavioural_engagement,False,LEGACY_A,R01 baseline as published (is_unbalance=True),44,14,19
safety_at_school,0.03419803344521949,-0.0007286885725985481,0.03865895307514461,0.026234577581398043,-0.010509717970246064,0.008925291442588582,0.5448047374877316,higher value -> MORE dropout risk,safety_wellbeing,False,LEGACY_A,R01 baseline as published (is_unbalance=True),44,14,20
no_of_siblings_in_school,0.028736145991922507,0.0008585169529250703,0.053453817352325864,0.05908293258551295,0.03212156229451983,0.02196281680417332,-0.7564908375464647,higher value -> LESS dropout risk,household_economic,False,LEGACY_A,R01 baseline as published (is_unbalance=True),44,14,21
class_level,0.02426819920276708,0.0038684144986239565,0.031045850372286,0.03408845388063875,0.022861003614470337,0.011353166266964296,-0.5933663077914024,higher value -> LESS dropout risk,academic_performance,False,LEGACY_A,R01 baseline as published (is_unbalance=True),44,14,22
teacher_support_rating,0.02412795314005416,0.0007131156159406956,0.034457518828827124,0.049579062845714734,0.01633047951197853,0.015882146138109354,0.3409771638741168,higher value -> MORE dropout risk,behavioural_engagement,False,LEGACY_A,R01 baseline as published (is_unbalance=True),44,14,23
grade_repetition_count,0.022457585686918257,0.0005785232192026489,0.04216511132556841,0.09446743998665506,0.07482491087527987,0.02099150855334079,0.6562603566396242,higher value -> MORE dropout risk,academic_performance,False,LEGACY_A,R01 baseline as published (is_unbalance=True),44,14,24
no_of_siblings_in_school_missing,0.017525529705467946,-0.0026955031766286515,0.0261339828028555,0.012394708816181701,-0.0015541294163901045,0.004524547004624708,0.6977536824333168,higher value -> MORE dropout risk,household_economic,False,LEGACY_A,R01 baseline as published (is_unbalance=True),44,14,25
school_enjoyment,0.01704419029431903,0.0015161480568153807,0.022470575728799375,0.018159518129142984,-0.00781943997100437,0.005573093501965361,0.8428922909218979,higher value -> MORE dropout risk,behavioural_engagement,False,LEGACY_A,R01 baseline as published (is_unbalance=True),44,14,26
missed_school_due_to_illness,0.016886482604750015,-0.00026897480104187747,0.018059914915803107,0.002736548330138125,-0.00028242559698224857,0.0008656597909743277,0.7179309083149156,higher value -> MORE dropout risk,attendance_trajectory,False,LEGACY_A,R01 baseline as published (is_unbalance=True),44,14,27
govt_support_missing,0.010775658394529767,0.0023668729724739862,0.03012035329783165,0.005036842456150806,-0.005036842456150806,0.0009308916340706339,0.5649193686379559,higher value -> MORE dropout risk,household_economic,False,LEGACY_A,R01 baseline as published (is_unbalance=True),44,14,28
mode_of_transport_to_school,0.0073773038065828075,0.0018023873333824936,0.008552414378433409,0.005302694553107766,-0.0009841487530741896,0.0019245615066260365,0.4784267375590263,categorical - see beeswarm,household_economic,False,LEGACY_A,R01 baseline as published (is_unbalance=True),44,14,29
travel_time_to_school,0.004543020306937518,0.0009184703393291585,0.006834466577790668,0.007893892746026672,0.004247108621910983,0.0019467172208176816,0.8886631187968004,higher value -> MORE dropout risk,household_economic,False,LEGACY_A,R01 baseline as published (is_unbalance=True),44,14,30
school_feeding_status,0.002148037909543179,0.0004291294418702398,0.0033307090588903915,0.0039969422683338645,0.002143857367102595,0.0011686873369095318,0.8639166972356156,higher value -> MORE dropout risk,household_economic,False,LEGACY_A,R01 baseline as published (is_unbalance=True),44,14,31
gender,0.0009158609253808255,0.00010010852902152182,0.0015419986120304024,0.0002695743044342475,4.375980575830248e-05,7.545327947165061e-05,-0.8660260751685414,categorical - see beeswarm,demographic,False,LEGACY_A,R01 baseline as published (is_unbalance=True),44,14,32
parent_guardian_occupation,0.0005028801061766606,-1.0275427572914934e-05,0.0007780314333143885,0.0002683845770297487,0.0002683845770297487,4.69322070514314e-05,0.5802143262339253,categorical - see beeswarm,household_economic,False,LEGACY_A,R01 baseline as published (is_unbalance=True),44,14,33
geographic_zone,0.00017792365473469655,-1.507385251759799e-05,0.00020324505085876643,8.326716452144957e-05,-1.2427649293952381e-05,2.6720867379714533e-05,0.8630696254154507,categorical - see beeswarm,school_administrative,False,LEGACY_A,R01 baseline as published (is_unbalance=True),44,14,34
extracurricular_activities,0.00014206574448898788,-4.8006390988862395e-05,0.0003485494273753773,5.1040298620912184e-05,-1.4572437041061554e-05,3.157112893915947e-05,-0.822600217191249,higher value -> LESS dropout risk,behavioural_engagement,False,LEGACY_A,R01 baseline as published (is_unbalance=True),44,14,35
home_has_electricity,4.537270668242051e-05,-2.2216056470965296e-05,8.504609150863627e-05,0.0002150853368343109,3.39920281418318e-05,6.397599744315597e-05,-0.577504226399826,higher value -> LESS dropout risk,household_economic,False,LEGACY_A,R01 baseline as published (is_unbalance=True),44,14,36
missed_school_for_choreswork,3.106412959920992e-05,9.271347234360494e-06,4.0790338971759916e-05,1.1264603761061467e-05,-1.0157228265991264e-05,2.565095584306149e-06,0.533208742249372,higher value -> MORE dropout risk,attendance_trajectory,False,LEGACY_A,R01 baseline as published (is_unbalance=True),44,14,37
govt_support,2.918973410389122e-05,-1.2813200891674233e-06,3.592806423830013e-05,2.1628484006308096e-05,-1.103129274256436e-05,5.4344742798194694e-06,0.8389038649392976,higher value -> MORE dropout risk,household_economic,False,LEGACY_A,R01 baseline as published (is_unbalance=True),44,14,38
grade_repetition_count_missing,2.4360592052917773e-05,7.176120009816101e-06,4.047276980097388e-05,9.729120860844354e-06,9.729120860844354e-06,7.628795875379117e-07,-0.5518608669705756,higher value -> LESS dropout risk,academic_performance,False,LEGACY_A,R01 baseline as published (is_unbalance=True),44,14,39
leap_beneficiary_status,1.1360536153310787e-06,2.346860956871435e-07,1.7090314387877815e-06,2.4779470096287643e-07,-1.1704361310653735e-08,8.621715599304159e-08,-0.6721643145808963,higher value -> LESS dropout risk,household_economic,False,LEGACY_A,R01 baseline as published (is_unbalance=True),44,14,40
parent_guardian_education_level_missing,1.9657728664592518e-07,8.230473511988923e-08,3.482855146066419e-07,7.888506794089569e-08,7.888506794089569e-08,5.339276277549157e-09,-0.33903824494033363,higher value -> LESS dropout risk,household_economic,False,LEGACY_A,R01 baseline as published (is_unbalance=True),44,14,41
family_income_level_missing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no consistent direction,household_economic,False,LEGACY_A,R01 baseline as published (is_unbalance=True),44,14,42
daily_study_hours_at_home_missing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no consistent direction,behavioural_engagement,False,LEGACY_A,R01 baseline as published (is_unbalance=True),44,14,43
leap_beneficiary_status_missing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no consistent direction,household_economic,False,LEGACY_A,R01 baseline as published (is_unbalance=True),44,14,44
