contrast,seed,ref_mean,test_mean,diff_mean,sign,wilcoxon_p,cohens_d,ci95_lo,ci95_hi,n_folds
matched: focal vs cross-entropy,42,0.9841109853719643,0.9806806196928293,-0.0034303656791349903,-,0.01907646884813539,-0.159237462813502,-0.0063558201445519874,-0.0010638471711834864,25
matched: focal vs cross-entropy,123,0.9821576724461681,0.9795880154264591,-0.0025696570197089887,-,0.03847719206839089,-0.09043357907166587,-0.0046393463828604126,-0.0004577620269185123,25
matched: focal vs cross-entropy,456,0.9772435063772014,0.9743905535199161,-0.002852952857285271,-,0.159035451554693,-0.09938853295357714,-0.006413839842897654,0.00010894321913049674,25
matched: focal vs cross-entropy,789,0.9745665663790978,0.9704715631317135,-0.0040950032473843255,-,0.05125339061386602,-0.10200189591956989,-0.007767728877636243,-0.0007609751032197549,25
matched: focal vs cross-entropy,1024,0.977995511149354,0.9744666443827812,-0.003528866766572634,-,0.06560488370188806,-0.11561973533132695,-0.006186578917304624,-0.0010060384193363344,25
matched: focal vs cross-entropy,2048,0.9795929262436729,0.9770891843499118,-0.002503741893761049,-,0.05126873841350456,-0.08776326782393573,-0.004973631365247049,-0.0001811913462931222,25
matched: focal vs cross-entropy,3333,0.9854338154643023,0.9821526650425622,-0.003281150421740051,-,0.21763639058723971,-0.15367688915402075,-0.007490439993442349,0.0005698247648728352,25
matched: focal vs cross-entropy,5555,0.9844666453978347,0.9807720079589596,-0.0036946374388752367,-,0.13649771056887278,-0.1755992436632845,-0.007772784435382326,7.937596597701693e-05,25
matched: focal vs cross-entropy,7777,0.9857223517796657,0.982715185478323,-0.0030071663013427363,-,0.06032037070660072,-0.15597000674368036,-0.005838640528861099,-0.0005447144669833753,25
matched: focal vs cross-entropy,9999,0.9778825427295205,0.9736644439685042,-0.004218098761016429,-,0.017378363446698287,-0.10758685746063053,-0.007504320103706482,-0.0012832022149102246,25
