contrast,seed,ref_mean,test_mean,diff_mean,sign,wilcoxon_p,cohens_d,ci95_lo,ci95_hi,n_folds
matched: focal vs cross-entropy,42,0.9924974364468053,0.9890626681478628,-0.003434768298942772,-,0.016379852886194788,-0.20310703239551442,-0.007063903319765159,-0.0006956405171848168,25
matched: focal vs cross-entropy,123,0.9871383959774604,0.9832732890113647,-0.003865106966095988,-,0.029335827429784998,-0.1420360849616227,-0.008229631968225855,-0.0005572734748617758,25
matched: focal vs cross-entropy,456,0.9854367886675067,0.984110965591374,-0.0013258230761326794,-,0.14844004733006796,-0.07476483172110328,-0.002919366988360808,0.0001181617707198258,25
matched: focal vs cross-entropy,789,0.9795954251701491,0.9775970761682852,-0.001998349001863815,-,0.2889698335061083,-0.05641671956616456,-0.005008450458395458,0.0007786498297409684,25
matched: focal vs cross-entropy,1024,0.9874954765601176,0.9836116125118031,-0.0038838640483145914,-,0.034241376318445815,-0.15591970765387764,-0.006764576720857513,-0.0013344794343113427,25
matched: focal vs cross-entropy,2048,0.9849253914783875,0.983517120269687,-0.00140827120870068,-,0.2470210580743627,-0.060315523821324754,-0.004186348453612189,0.001121787466020291,25
matched: focal vs cross-entropy,3333,0.9891976794807791,0.9884232851607312,-0.0007743943200478753,-,0.7749249837366979,-0.04661305594962688,-0.0032064953478773096,0.0015872049327405864,25
matched: focal vs cross-entropy,5555,0.9898171396763834,0.9868780796361086,-0.002939060040274608,-,0.012033800608643027,-0.17098629093776063,-0.005803211700580105,-0.000630533333063706,25
matched: focal vs cross-entropy,7777,0.9900863906114714,0.9891914661885062,-0.000894924422965131,-,0.48936627665543564,-0.06895436664628327,-0.0035758986593042133,0.0017067801358060044,25
matched: focal vs cross-entropy,9999,0.9823657782198887,0.9806946182403646,-0.0016711599795240638,-,0.1359020498139904,-0.048738018831586544,-0.004047423612460255,0.000416167303828883,25
