number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.9751791621415682,2026-06-29 00:49:04.487964,2026-06-29 00:49:11.521288,0 days 00:00:07.033324,0.6496231149384089,0.08335035562462745,13,90,509,64,6.265756984389482,4.223340476501375,0.7098956653518792,COMPLETE
1,0.9914718614718614,2026-06-29 00:49:11.525682,2026-06-29 00:49:12.013327,0 days 00:00:00.487645,0.8499004538387055,0.06173380805528308,9,50,781,141,1.8970911322634354,8.928488439161258,0.9951361589168115,COMPLETE
2,0.9752640585777232,2026-06-29 00:49:12.015671,2026-06-29 00:49:12.305053,0 days 00:00:00.289382,0.8717991454513725,0.1918083284860053,3,48,568,44,7.8835036444789175,4.769852416335139,0.7009119449809253,COMPLETE
3,0.9721988549584368,2026-06-29 00:49:12.307295,2026-06-29 00:49:12.667802,0 days 00:00:00.360507,0.7880043554222415,0.09254029228703946,6,71,682,47,9.196200041574123,5.997813277997568,0.8125512292142933,COMPLETE
4,0.9898809523809524,2026-06-29 00:49:12.672586,2026-06-29 00:49:12.998616,0 days 00:00:00.326030,0.780631813987406,0.056755721857498234,3,67,385,35,1.640954695336675,5.736878097871545,0.7991784876759975,COMPLETE
5,0.9925553012967201,2026-06-29 00:49:13.000955,2026-06-29 00:49:13.380166,0 days 00:00:00.379211,0.8272464715596427,0.19377562106863055,15,48,800,112,0.7125809579867104,0.9973657425856897,0.7034458719942127,COMPLETE
6,0.9949242424242424,2026-06-29 00:49:13.382576,2026-06-29 00:49:13.707893,0 days 00:00:00.325317,0.6130483131165315,0.18295777665929805,6,25,536,82,0.37982362685682225,0.6469351015457592,0.9726509965527034,COMPLETE
7,0.986279356399657,2026-06-29 00:49:13.712806,2026-06-29 00:49:14.260713,0 days 00:00:00.547907,0.9045088524624159,0.07931726329350848,9,41,758,144,3.2061003109888175,7.178965987141143,0.7989359179570553,COMPLETE
8,0.9914718614718614,2026-06-29 00:49:14.265363,2026-06-29 00:49:15.076357,0 days 00:00:00.810994,0.8506254789911103,0.007998620318042911,10,32,840,124,2.515403408887096,3.1596511206422884,0.8256065115035496,COMPLETE
9,0.9781869030440458,2026-06-29 00:49:15.081990,2026-06-29 00:49:15.389239,0 days 00:00:00.307249,0.9330302503647464,0.06303983742636828,14,52,470,137,5.102520686259577,5.985552334595568,0.7960264600386853,COMPLETE
10,0.9835776604348034,2026-06-29 00:49:15.391112,2026-06-29 00:49:15.579715,0 days 00:00:00.188603,0.6103239318083239,0.006624645826008238,6,8,111,87,4.509379110007106,0.13567384946720473,0.9932808783502745,COMPLETE
11,0.9945289855072463,2026-06-29 00:49:15.582653,2026-06-29 00:49:16.184986,0 days 00:00:00.602333,0.6978257677493112,0.19762041762530388,15,18,908,100,0.01591293801874527,0.4313070038846113,0.6118617575882096,COMPLETE
12,0.9949242424242424,2026-06-29 00:49:16.187149,2026-06-29 00:49:16.870136,0 days 00:00:00.682987,0.691759095894906,0.1497851830994713,12,13,983,95,0.09066545938672399,2.399626664605281,0.6147843757935516,COMPLETE
13,0.9941889483065953,2026-06-29 00:49:16.873436,2026-06-29 00:49:17.223672,0 days 00:00:00.350236,0.7121284659396063,0.03261678490233278,12,23,263,77,0.32820494364389535,2.328223354748445,0.9107239435697885,COMPLETE
14,0.9902283692031592,2026-06-29 00:49:17.226036,2026-06-29 00:49:17.687593,0 days 00:00:00.461557,0.6023917556273151,0.11821534140268837,6,13,991,68,3.164615786477614,1.9282945180118496,0.6130314194479806,COMPLETE
15,0.9921877156659764,2026-06-29 00:49:17.692120,2026-06-29 00:49:18.376706,0 days 00:00:00.684586,0.7066670761416715,0.031205916998696865,12,28,650,94,1.2052419303702258,2.888795519585701,0.9069301953374299,COMPLETE
16,0.9870855969427398,2026-06-29 00:49:18.381166,2026-06-29 00:49:18.750224,0 days 00:00:00.369058,0.6595021528955809,0.12342306721399653,8,5,320,115,3.790300587644306,1.5364902521050223,0.9060947865263251,COMPLETE
17,0.9824119035867589,2026-06-29 00:49:18.753680,2026-06-29 00:49:19.084090,0 days 00:00:00.330410,0.7597584229629075,0.03677775247663907,11,35,108,76,1.920953065567398,4.101054786788464,0.6703781969540574,COMPLETE
18,0.9941889483065953,2026-06-29 00:49:19.086563,2026-06-29 00:49:20.839193,0 days 00:00:01.752630,0.9984966094062562,0.012057572611358683,4,20,976,21,0.021821045226548624,3.2580286310506597,0.8618308099408789,COMPLETE
19,0.9915625644197072,2026-06-29 00:49:20.843714,2026-06-29 00:49:21.925560,0 days 00:00:01.081846,0.65813619571159,0.13306379625055442,7,62,630,106,1.3312858764994608,1.2355678521587183,0.7537917009658665,COMPLETE
