Recall,Precision,Model
1.0,0.09,Baseline LightGBM
1.0,0.09045226130653267,Baseline LightGBM
1.0,0.09090909090909091,Baseline LightGBM
1.0,0.09137055837563451,Baseline LightGBM
1.0,0.09183673469387756,Baseline LightGBM
1.0,0.09230769230769231,Baseline LightGBM
1.0,0.09278350515463918,Baseline LightGBM
1.0,0.09326424870466321,Baseline LightGBM
1.0,0.09375,Baseline LightGBM
1.0,0.09424083769633508,Baseline LightGBM
1.0,0.09473684210526316,Baseline LightGBM
1.0,0.09523809523809523,Baseline LightGBM
1.0,0.09574468085106383,Baseline LightGBM
1.0,0.0962566844919786,Baseline LightGBM
1.0,0.0967741935483871,Baseline LightGBM
1.0,0.0972972972972973,Baseline LightGBM
1.0,0.09782608695652174,Baseline LightGBM
1.0,0.09836065573770492,Baseline LightGBM
1.0,0.0989010989010989,Baseline LightGBM
1.0,0.09944751381215469,Baseline LightGBM
1.0,0.1,Baseline LightGBM
1.0,0.1005586592178771,Baseline LightGBM
1.0,0.10112359550561797,Baseline LightGBM
1.0,0.1016949152542373,Baseline LightGBM
1.0,0.10227272727272728,Baseline LightGBM
1.0,0.10285714285714286,Baseline LightGBM
1.0,0.10344827586206896,Baseline LightGBM
1.0,0.10404624277456648,Baseline LightGBM
1.0,0.10465116279069768,Baseline LightGBM
1.0,0.10526315789473684,Baseline LightGBM
1.0,0.10588235294117647,Baseline LightGBM
1.0,0.10650887573964497,Baseline LightGBM
1.0,0.10714285714285714,Baseline LightGBM
1.0,0.10778443113772455,Baseline LightGBM
1.0,0.10843373493975904,Baseline LightGBM
1.0,0.10975609756097561,Baseline LightGBM
1.0,0.11042944785276074,Baseline LightGBM
1.0,0.1111111111111111,Baseline LightGBM
1.0,0.11180124223602485,Baseline LightGBM
1.0,0.1125,Baseline LightGBM
1.0,0.11320754716981132,Baseline LightGBM
1.0,0.11392405063291139,Baseline LightGBM
1.0,0.11464968152866242,Baseline LightGBM
1.0,0.11538461538461539,Baseline LightGBM
1.0,0.11612903225806452,Baseline LightGBM
1.0,0.11688311688311688,Baseline LightGBM
1.0,0.11764705882352941,Baseline LightGBM
1.0,0.11842105263157894,Baseline LightGBM
1.0,0.11920529801324503,Baseline LightGBM
1.0,0.12,Baseline LightGBM
1.0,0.12080536912751678,Baseline LightGBM
1.0,0.12162162162162163,Baseline LightGBM
1.0,0.12244897959183673,Baseline LightGBM
1.0,0.1232876712328767,Baseline LightGBM
1.0,0.12413793103448276,Baseline LightGBM
1.0,0.125,Baseline LightGBM
1.0,0.1258741258741259,Baseline LightGBM
1.0,0.1267605633802817,Baseline LightGBM
1.0,0.1276595744680851,Baseline LightGBM
1.0,0.12857142857142856,Baseline LightGBM
1.0,0.12949640287769784,Baseline LightGBM
1.0,0.13043478260869565,Baseline LightGBM
1.0,0.13138686131386862,Baseline LightGBM
1.0,0.1323529411764706,Baseline LightGBM
1.0,0.13333333333333333,Baseline LightGBM
1.0,0.13432835820895522,Baseline LightGBM
1.0,0.13533834586466165,Baseline LightGBM
1.0,0.13636363636363635,Baseline LightGBM
1.0,0.13740458015267176,Baseline LightGBM
1.0,0.13846153846153847,Baseline LightGBM
1.0,0.13953488372093023,Baseline LightGBM
1.0,0.140625,Baseline LightGBM
1.0,0.14173228346456693,Baseline LightGBM
1.0,0.14285714285714285,Baseline LightGBM
1.0,0.144,Baseline LightGBM
1.0,0.14516129032258066,Baseline LightGBM
1.0,0.14634146341463414,Baseline LightGBM
1.0,0.14754098360655737,Baseline LightGBM
1.0,0.1487603305785124,Baseline LightGBM
1.0,0.15,Baseline LightGBM
1.0,0.15126050420168066,Baseline LightGBM
1.0,0.15254237288135594,Baseline LightGBM
1.0,0.15384615384615385,Baseline LightGBM
1.0,0.15517241379310345,Baseline LightGBM
1.0,0.1565217391304348,Baseline LightGBM
1.0,0.15789473684210525,Baseline LightGBM
1.0,0.1592920353982301,Baseline LightGBM
1.0,0.16071428571428573,Baseline LightGBM
1.0,0.16216216216216217,Baseline LightGBM
1.0,0.16363636363636364,Baseline LightGBM
1.0,0.1651376146788991,Baseline LightGBM
1.0,0.16666666666666666,Baseline LightGBM
1.0,0.16822429906542055,Baseline LightGBM
1.0,0.16981132075471697,Baseline LightGBM
1.0,0.17142857142857143,Baseline LightGBM
1.0,0.17307692307692307,Baseline LightGBM
1.0,0.17475728155339806,Baseline LightGBM
1.0,0.17647058823529413,Baseline LightGBM
1.0,0.1782178217821782,Baseline LightGBM
1.0,0.18,Baseline LightGBM
1.0,0.18181818181818182,Baseline LightGBM
1.0,0.1836734693877551,Baseline LightGBM
1.0,0.18556701030927836,Baseline LightGBM
1.0,0.1875,Baseline LightGBM
1.0,0.18947368421052632,Baseline LightGBM
1.0,0.19148936170212766,Baseline LightGBM
1.0,0.1935483870967742,Baseline LightGBM
1.0,0.1956521739130435,Baseline LightGBM
1.0,0.1978021978021978,Baseline LightGBM
1.0,0.2,Baseline LightGBM
1.0,0.20224719101123595,Baseline LightGBM
1.0,0.20454545454545456,Baseline LightGBM
1.0,0.20689655172413793,Baseline LightGBM
1.0,0.20930232558139536,Baseline LightGBM
1.0,0.21176470588235294,Baseline LightGBM
1.0,0.21428571428571427,Baseline LightGBM
1.0,0.21686746987951808,Baseline LightGBM
1.0,0.21951219512195122,Baseline LightGBM
1.0,0.2222222222222222,Baseline LightGBM
1.0,0.225,Baseline LightGBM
1.0,0.22784810126582278,Baseline LightGBM
1.0,0.23076923076923078,Baseline LightGBM
1.0,0.23376623376623376,Baseline LightGBM
1.0,0.23684210526315788,Baseline LightGBM
1.0,0.24,Baseline LightGBM
1.0,0.24324324324324326,Baseline LightGBM
1.0,0.2465753424657534,Baseline LightGBM
1.0,0.25,Baseline LightGBM
1.0,0.2535211267605634,Baseline LightGBM
1.0,0.2571428571428571,Baseline LightGBM
1.0,0.2608695652173913,Baseline LightGBM
1.0,0.2647058823529412,Baseline LightGBM
1.0,0.26865671641791045,Baseline LightGBM
1.0,0.2727272727272727,Baseline LightGBM
1.0,0.27692307692307694,Baseline LightGBM
1.0,0.28125,Baseline LightGBM
1.0,0.2857142857142857,Baseline LightGBM
1.0,0.2903225806451613,Baseline LightGBM
1.0,0.29508196721311475,Baseline LightGBM
1.0,0.3,Baseline LightGBM
1.0,0.3050847457627119,Baseline LightGBM
1.0,0.3103448275862069,Baseline LightGBM
1.0,0.3157894736842105,Baseline LightGBM
1.0,0.32142857142857145,Baseline LightGBM
1.0,0.32727272727272727,Baseline LightGBM
1.0,0.3333333333333333,Baseline LightGBM
1.0,0.33962264150943394,Baseline LightGBM
1.0,0.34615384615384615,Baseline LightGBM
1.0,0.35294117647058826,Baseline LightGBM
1.0,0.36,Baseline LightGBM
1.0,0.3673469387755102,Baseline LightGBM
1.0,0.375,Baseline LightGBM
1.0,0.3829787234042553,Baseline LightGBM
1.0,0.391304347826087,Baseline LightGBM
1.0,0.4,Baseline LightGBM
1.0,0.4090909090909091,Baseline LightGBM
1.0,0.4186046511627907,Baseline LightGBM
1.0,0.42857142857142855,Baseline LightGBM
1.0,0.43902439024390244,Baseline LightGBM
1.0,0.45,Baseline LightGBM
1.0,0.46153846153846156,Baseline LightGBM
1.0,0.47368421052631576,Baseline LightGBM
1.0,0.4864864864864865,Baseline LightGBM
1.0,0.5142857142857142,Baseline LightGBM
1.0,0.5294117647058824,Baseline LightGBM
1.0,0.5454545454545454,Baseline LightGBM
1.0,0.5625,Baseline LightGBM
1.0,0.5806451612903226,Baseline LightGBM
1.0,0.6,Baseline LightGBM
1.0,0.6206896551724138,Baseline LightGBM
1.0,0.6428571428571429,Baseline LightGBM
1.0,0.6666666666666666,Baseline LightGBM
1.0,0.6923076923076923,Baseline LightGBM
1.0,0.72,Baseline LightGBM
1.0,0.8571428571428571,Baseline LightGBM
0.9444444444444444,0.85,Baseline LightGBM
0.9444444444444444,0.8947368421052632,Baseline LightGBM
0.9444444444444444,0.9444444444444444,Baseline LightGBM
0.9444444444444444,1.0,Baseline LightGBM
0.8888888888888888,1.0,Baseline LightGBM
0.8333333333333334,1.0,Baseline LightGBM
0.7777777777777778,1.0,Baseline LightGBM
0.7222222222222222,1.0,Baseline LightGBM
0.6666666666666666,1.0,Baseline LightGBM
0.6111111111111112,1.0,Baseline LightGBM
0.5555555555555556,1.0,Baseline LightGBM
0.5,1.0,Baseline LightGBM
0.4444444444444444,1.0,Baseline LightGBM
0.3888888888888889,1.0,Baseline LightGBM
0.3333333333333333,1.0,Baseline LightGBM
0.2777777777777778,1.0,Baseline LightGBM
